"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
3.816212100E-2	3.054236295E-4	3.451287001E-2	6.566607859E-3
4.656514200E-2	-1.985253533E-3	4.703523964E-2	1.191152167E-2
5.496816300E-2	-4.581354442E-4	3.542914242E-2	3.665083554E-3
6.337118300E-2	-1.679830020E-3	1.588202827E-2	4.886778072E-3
7.177420400E-2	9.162708884E-4	5.803049076E-3	1.068982668E-2
8.017722500E-2	3.359660041E-3	-1.679830020E-3	9.773556143E-3
8.858024600E-2	4.123218823E-3	-4.581354558E-3	6.413896102E-3
9.698326700E-2	4.428642802E-3	4.581354442E-4	5.955760833E-3
1.053862880E-1	3.359660041E-3	5.650337320E-3	8.093725890E-3
1.137893080E-1	3.359660041E-3	7.635590620E-3	7.024743594E-3
1.221923290E-1	9.162708884E-4	5.955760833E-3	6.108472589E-3
1.305953500E-1	1.985253533E-3	1.114796288E-2	4.886778072E-3
1.389983710E-1	4.581354442E-4	1.756185852E-2	7.330167107E-3
1.474013920E-1	-4.581354442E-4	1.817270555E-2	7.024743594E-3
1.558044130E-1	1.068982761E-3	1.481304597E-2	7.024743594E-3
1.642074330E-1	9.162708884E-4	9.620844387E-3	9.315420873E-3
1.726104540E-1	3.054236295E-3	6.261184346E-3	9.926267900E-3
1.810134750E-1	2.901524538E-3	6.108472589E-3	1.038440317E-2
1.894164960E-1	2.290677279E-3	1.130067464E-2	1.206423342E-2
1.978195170E-1	4.428642802E-3	1.649287529E-2	1.313321572E-2
2.062225380E-1	3.206948051E-3	1.740914769E-2	1.313321572E-2
2.146255580E-1	3.206948051E-3	1.496575773E-2	1.511846948E-2
2.230285790E-1	1.985253533E-3	1.206423342E-2	1.679829881E-2
2.314316000E-1	1.068982761E-3	1.206423342E-2	1.771457121E-2
2.398346210E-1	7.635590737E-4	1.679829881E-2	1.863084175E-2
2.482376420E-1	6.108472589E-4	1.939439960E-2	2.046338283E-2
2.566406630E-1	6.108472589E-4	1.832541823E-2	2.153236605E-2
2.650436830E-1	2.596100792E-3	1.740914769E-2	2.244863659E-2
2.734467040E-1	3.206948051E-3	1.282779220E-2	2.336490713E-2
2.818497250E-1	2.137965523E-3	1.068982668E-2	2.535016090E-2
2.902527460E-1	2.290677279E-3	6.413896102E-3	2.443389036E-2
2.986557670E-1	1.985253533E-3	9.009997360E-3	2.351761982E-2
3.070587880E-1	4.581354442E-4	1.007897966E-2	2.412846684E-2
3.154618080E-1	-2.748812549E-3	1.420219894E-2	2.290677279E-2
3.238648290E-1	-1.832541777E-3	1.847812906E-2	2.290677279E-2
3.322678500E-1	-6.108472589E-4	2.015795931E-2	2.367033064E-2
3.406708710E-1	-7.635590737E-4	1.908897609E-2	2.183778957E-2
3.490738920E-1	-1.679830020E-3	1.496575773E-2	2.183778957E-2
3.574769130E-1	-1.679830020E-3	1.252236869E-2	1.863084175E-2
3.658799330E-1	-1.985253533E-3	1.236965694E-2	1.801999472E-2
3.742829540E-1	-1.679830020E-3	1.450762246E-2	1.679829881E-2
3.826859750E-1	-2.596100792E-3	2.153236605E-2	1.679829881E-2
3.910889960E-1	-3.512371797E-3	3.023693897E-2	1.450762246E-2
3.994920170E-1	-4.275931045E-3	3.481829539E-2	1.068982668E-2
4.078950380E-1	-4.275931045E-3	3.176405653E-2	1.068982668E-2
4.162980580E-1	-2.290677279E-3	2.916795574E-2	1.145338640E-2
4.247010790E-1	1.374406274E-3	2.962609194E-2	1.313321572E-2
4.331041000E-1	4.275931045E-3	2.794626169E-2	1.450762246E-2
4.415071210E-1	3.359660041E-3	2.794626169E-2	1.649287529E-2
4.499101420E-1	6.108472589E-3	2.794626169E-2	2.122694254E-2
4.583131630E-1	9.162709117E-3	2.580829710E-2	2.473931387E-2
4.667161830E-1	1.145338640E-2	1.634016447E-2	3.008422814E-2
4.751192040E-1	1.160609815E-2	1.023169141E-2	3.191677108E-2
4.835222250E-1	1.160609815E-2	8.399149403E-3	3.787253052E-2
4.919252460E-1	1.298050396E-2	3.512371797E-3	4.153761268E-2
5.003282670E-1	1.206423342E-2	3.206948051E-3	4.260659590E-2
5.087312880E-1	1.221694518E-2	6.719320081E-3	4.627167806E-2
5.171343080E-1	1.236965694E-2	1.756185852E-2	4.627167806E-2
5.255373290E-1	1.252236869E-2	2.901524492E-2	4.856235534E-2
5.339403500E-1	1.130067464E-2	2.901524492E-2	5.238015205E-2
5.423433710E-1	1.145338640E-2	2.290677279E-2	5.451811850E-2
5.507463920E-1	1.267508045E-2	1.038440317E-2	5.497625470E-2
5.591494130E-1	1.267508045E-2	8.093725890E-3	5.803048983E-2
5.675524330E-1	1.343864016E-2	9.009997360E-3	6.016845629E-2
5.759554540E-1	1.389677543E-2	1.313321572E-2	5.971032009E-2
5.843584750E-1	1.252236869E-2	2.061609551E-2	5.971032009E-2
5.927614960E-1	1.068982668E-2	3.023693897E-2	6.215370819E-2
6.011645170E-1	1.053711493E-2	3.283303976E-2	6.154286116E-2
