"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
6.431796210E-1	-1.295115232E0	9.636494637E0	-5.090730190E-1
6.515826420E-1	-1.314257860E0	9.611370087E0	-5.808576941E-1
6.599856630E-1	-1.305882931E0	9.683753014E0	-6.526423693E-1
6.683886830E-1	-1.185643673E0	9.734002113E0	-6.693921089E-1
6.767917040E-1	-1.068395257E0	9.718449593E0	-5.784648657E-1
6.851947250E-1	-1.046859860E0	9.734002113E0	-4.677968323E-1
6.935977460E-1	-1.123430252E0	9.757930756E0	-4.510470629E-1
7.020007670E-1	-1.200598717E0	9.740582466E0	-4.977070987E-1
7.104037880E-1	-1.256830096E0	9.688538551E0	-5.599204898E-1
7.188068080E-1	-1.249053478E0	9.656833649E0	-5.748756528E-1
7.272098290E-1	-1.209571838E0	9.677771568E0	-5.545366406E-1
7.356128500E-1	-1.219741344E0	9.727422714E0	-5.252245665E-1
7.440158710E-1	-1.259821177E0	9.726225853E0	-5.246263742E-1
7.524188920E-1	-1.281356573E0	9.669396400E0	-5.389832854E-1
7.608219130E-1	-1.271785259E0	9.642477036E0	-5.144568682E-1
7.692249330E-1	-1.281954765E0	9.704689980E0	-4.911268353E-1
7.776279540E-1	-1.281356573E0	9.736394882E0	-4.612165689E-1
7.860309750E-1	-1.314257860E0	9.691530228E0	-4.660021961E-1
7.944339960E-1	-1.391426325E0	9.668798447E0	-4.558327198E-1
8.028370170E-1	-1.475175142E0	9.689137459E0	-4.211367965E-1
8.112400380E-1	-1.534397483E0	9.650253296E0	-3.942175210E-1
8.196430580E-1	-1.572682738E0	9.580862045E0	-3.499503136E-1
8.280460790E-1	-1.627119422E0	9.541379929E0	-3.774677813E-1
8.364491000E-1	-1.616351724E0	9.579665184E0	-3.696911037E-1
8.448521210E-1	-1.583450437E0	9.608379364E0	-3.553341627E-1
8.532551420E-1	-1.603789330E0	9.571290970E0	-3.726821244E-1
8.616581630E-1	-1.613958836E0	9.521040916E0	-3.541377485E-1
8.700611830E-1	-1.555334687E0	9.554540634E0	-3.523431420E-1
8.784642040E-1	-1.472184181E0	9.644271851E0	-3.637090325E-1
8.868672250E-1	-1.396810174E0	9.652048111E0	-4.271188378E-1
8.952702460E-1	-1.363310695E0	9.638289452E0	-4.588237405E-1
9.036732670E-1	-1.319641709E0	9.673583984E0	-4.953143001E-1
9.120762880E-1	-1.216152072E0	9.694520950E0	-5.126622319E-1
9.204793080E-1	-1.074975610E0	9.660423279E0	-4.438686073E-1
9.288823290E-1	-9.762716293E-1	9.672387123E0	-3.978067636E-1
9.372853500E-1	-9.164510965E-1	9.692726135E0	-3.954139352E-1
9.456883710E-1	-8.303094506E-1	9.677172661E0	-4.253242314E-1
9.540913920E-1	-7.160521746E-1	9.677172661E0	-4.103690982E-1
9.624944130E-1	-5.970092416E-1	9.682557106E0	-3.846462369E-1
9.708974330E-1	-4.881358147E-1	9.688538551E0	-3.182454109E-1
9.793004540E-1	-3.672982752E-1	9.632308006E0	-2.787638307E-1
9.877034750E-1	-2.769692242E-1	9.600004196E0	-3.056831062E-1
9.961064960E-1	-2.243271172E-1	9.632905960E0	-3.619144261E-1
1.004509517E0	-1.830509305E-1	9.678369522E0	-4.223332107E-1
