"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1685720506.830	"2023-06-02 21:11:46.830 UTC+05:30"
"PAUSE"	1.002618369E2	1685720607.091	"2023-06-02 21:13:27.091 UTC+05:30"
