"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
1.730211000E-2	-1.221694518E-3	-0.000000000E0	-8.551862091E-3
2.570513100E-2	-1.221694518E-3	-0.000000000E0	-8.551862091E-3
3.410815100E-2	-1.221694518E-3	-0.000000000E0	-8.551862091E-3
4.251117200E-2	-1.221694518E-3	-0.000000000E0	-8.551862091E-3
5.091419300E-2	-1.221694518E-3	-0.000000000E0	-8.551862091E-3
5.931721400E-2	-1.221694518E-3	-0.000000000E0	-8.551862091E-3
6.772023500E-2	-1.221694518E-3	-0.000000000E0	-8.551862091E-3
7.612325600E-2	-1.221694518E-3	-0.000000000E0	-8.551862091E-3
8.452627600E-2	-1.221694518E-3	-0.000000000E0	-8.551862091E-3
9.292929700E-2	-8.093725890E-3	4.001049697E-2	-2.702999115E-2
1.013323180E-1	-1.023169141E-2	5.787777901E-2	-3.405473381E-2
1.097353390E-1	-1.023169141E-2	4.153761268E-2	-3.023693897E-2
1.181383600E-1	-1.236965694E-2	2.244863659E-2	-2.504473738E-2
1.265413810E-1	-1.145338640E-2	8.093725890E-3	-2.535016090E-2
1.349444010E-1	-1.099525020E-2	5.955760833E-3	-3.206948191E-2
1.433474220E-1	-1.466033421E-2	1.588202827E-2	-4.306473210E-2
1.517504430E-1	-1.496575773E-2	3.268032894E-2	-5.039490014E-2
1.601534640E-1	-1.420219894E-2	5.314370990E-2	-5.314370990E-2
1.685564850E-1	-1.221694518E-2	6.795676053E-2	-5.528167635E-2
1.769595060E-1	-1.130067464E-2	7.085828483E-2	-5.512896553E-2
1.853625260E-1	-1.130067464E-2	7.284353673E-2	-5.299099907E-2
1.937655470E-1	-1.053711493E-2	7.696675509E-2	-4.810422286E-2
2.021685680E-1	-5.192201585E-3	7.956285775E-2	-4.535540938E-2
2.105715890E-1	-1.832541777E-3	7.971556485E-2	-5.161659420E-2
2.189746100E-1	-2.137965523E-3	7.467607409E-2	-5.482354015E-2
2.273776310E-1	-5.650337320E-3	6.627693027E-2	-5.680879578E-2
2.357806510E-1	-7.482878864E-3	5.894676223E-2	-5.711421743E-2
2.441836720E-1	-9.009997360E-3	5.375456065E-2	-5.619794875E-2
2.525866930E-1	-1.053711493E-2	5.024218559E-2	-5.665608495E-2
2.609897140E-1	-1.863084175E-2	5.573981255E-2	-5.909947306E-2
2.693927350E-1	-1.969982497E-2	4.428642616E-2	-6.337540597E-2
2.777957560E-1	-1.756185852E-2	3.252761811E-2	-6.245913357E-2
2.861987760E-1	-2.092151903E-2	2.199050039E-2	-5.971032009E-2
2.946017970E-1	-2.183778957E-2	1.817270555E-2	-6.001574174E-2
3.030048180E-1	-2.596100792E-2	2.626643144E-2	-6.612421572E-2
3.114078390E-1	-2.916795574E-2	4.627167806E-2	-7.223268598E-2
3.198108600E-1	-2.932066843E-2	7.528692484E-2	-7.528692484E-2
3.282138810E-1	-3.161134571E-2	9.529217333E-2	-8.047912270E-2
3.366169010E-1	-3.542914242E-2	9.284878522E-2	-8.490777016E-2
3.450199220E-1	-3.924693540E-2	7.956285775E-2	-8.597674966E-2
3.534229430E-1	-4.062134400E-2	6.413896382E-2	-7.727217674E-2
3.618259640E-1	-5.192201585E-2	5.283828825E-2	-7.177454978E-2
3.702289850E-1	-7.345438004E-2	5.100574717E-2	-7.727217674E-2
3.786320060E-1	-1.056765765E-1	5.680879578E-2	-8.903098851E-2
3.870350260E-1	-1.466033459E-1	4.413371533E-2	-9.376505762E-2
3.954380470E-1	-1.916533262E-1	1.282779220E-2	-9.498675168E-2
4.038410680E-1	-2.214321345E-1	-4.428642616E-2	-1.004843712E-1
4.122440890E-1	-2.486148328E-1	-1.003316641E-1	-1.007898003E-1
4.206471100E-1	-2.744231224E-1	-1.466033459E-1	-8.322793990E-2
4.290501310E-1	-2.599155009E-1	-1.760767251E-1	-6.826218218E-2
4.374531510E-1	-2.028012872E-1	-2.467822880E-1	-4.734066129E-2
4.458561720E-1	-1.249182671E-1	-3.625378609E-1	-3.573456407E-2
4.542591930E-1	-3.344388679E-2	-4.640912116E-1	-1.969982497E-2
