"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
3.410815100E-2	-3.098705411E-1	8.879166603E0	4.134199142E0
4.251117200E-2	-4.109672904E-1	8.793622971E0	4.164707661E0
5.091419300E-2	-4.737788737E-1	8.800801277E0	4.192823410E0
5.931721400E-2	-4.845465720E-1	8.818149567E0	4.238286972E0
6.772023500E-2	-4.145565331E-1	8.822337151E0	4.314857483E0
7.612325600E-2	-3.032902777E-1	8.800203323E0	4.378267288E0
8.452627600E-2	-3.098705411E-1	8.770891190E0	4.372883320E0
9.292929700E-2	-4.241278172E-1	8.739186287E0	4.336392879E0
1.013323180E-1	-5.611169338E-1	8.713463783E0	4.278367043E0
1.097353390E-1	-6.053841114E-1	8.709874153E0	4.232903481E0
1.181383600E-1	-5.659025311E-1	8.706285477E0	4.259224415E0
1.265413810E-1	-4.211367965E-1	8.758329391E0	4.313062668E0
1.349444010E-1	-2.865405083E-1	8.854640007E0	4.319643021E0
1.433474220E-1	-2.153540403E-1	8.885149002E0	4.290330887E0
1.517504430E-1	-2.075773627E-1	8.866005898E0	4.293322086E0
1.601534640E-1	-2.362912297E-1	8.797212601E0	4.286741734E0
1.685564850E-1	-2.799602449E-1	8.699107170E0	4.235894203E0
1.769595060E-1	-3.655036688E-1	8.697910309E0	4.200001717E0
1.853625260E-1	-4.420739710E-1	8.752346992E0	4.198207378E0
1.937655470E-1	-4.785645306E-1	8.843274117E0	4.247260094E0
2.021685680E-1	-4.797609448E-1	8.868398666E0	4.293920040E0
2.105715890E-1	-4.923232496E-1	8.823533058E0	4.274777889E0
2.189746100E-1	-5.425725579E-1	8.775676727E0	4.241278172E0
2.273776310E-1	-5.778666735E-1	8.749954224E0	4.211966038E0
2.357806510E-1	-5.491527915E-1	8.766105652E0	4.278367043E0
2.441836720E-1	-5.036891699E-1	8.797212601E0	4.343571186E0
2.525866930E-1	-4.648058116E-1	8.859425545E0	4.319643021E0
2.609897140E-1	-4.983053207E-1	8.944969177E0	4.304089546E0
2.693927350E-1	-5.240281820E-1	8.901300430E0	4.261018753E0
2.777957560E-1	-5.335994363E-1	8.748757362E0	4.192823410E0
2.861987760E-1	-4.935196638E-1	8.597412109E0	4.140779495E0
2.946017970E-1	-4.462614357E-1	8.657232285E0	4.090530396E0
3.030048180E-1	-3.684946895E-1	8.870193481E0	4.077968121E0
3.114078390E-1	-3.062812984E-1	8.961718559E0	4.174877167E0
3.198108600E-1	-3.062812984E-1	8.933005333E0	4.237689018E0
3.282138810E-1	-4.307080805E-1	8.836693764E0	4.245465755E0
3.366169010E-1	-6.119644046E-1	8.865407944E0	4.235894203E0
3.450199220E-1	-7.639086246E-1	8.930612564E0	4.217947960E0
3.534229430E-1	-7.704889178E-1	8.940781593E0	4.165306091E0
3.618259640E-1	-7.004988194E-1	8.896514893E0	4.161118507E0
3.702289850E-1	-7.058826685E-1	8.903693199E0	4.165306091E0
3.786320060E-1	-8.033902049E-1	8.998209953E0	4.203591347E0
3.870350260E-1	-9.678967595E-1	9.065806389E0	4.124029636E0
3.954380470E-1	-1.158724308E0	9.061020851E0	3.917648792E0
4.038410680E-1	-1.372283816E0	9.162117958E0	3.604787350E0
4.122440890E-1	-1.535593987E0	9.366703987E0	3.302693367E0
4.206471100E-1	-1.336989641E0	9.646066666E0	3.192623615E0
4.290501310E-1	-9.391828775E-1	9.811170578E0	3.324826956E0
4.374531510E-1	-7.334001660E-1	9.873982430E0	2.895315409E0
4.458561720E-1	-4.660021961E-1	1.032323551E1	2.309073925E0
4.542591930E-1	-5.623133108E-2	1.055474091E1	2.233700037E0
4.626622140E-1	7.016952634E-1	1.065344429E1	2.507678032E0
4.710652350E-1	1.733001828E0	1.071745300E1	3.188436270E0
4.794682560E-1	2.776870728E0	1.050987530E1	4.040879250E0
4.878712760E-1	3.537788391E0	1.017129040E1	4.856233597E0
4.962742970E-1	3.517449379E0	9.705288887E0	5.524429321E0
5.046773180E-1	2.541177750E0	9.099306107E0	6.097510338E0
5.130803390E-1	1.116251707E0	8.606385231E0	6.238687038E0
5.214833600E-1	-5.192425251E-1	8.383852005E0	6.083751678E0
5.298863810E-1	-2.125424623E0	8.016553879E0	5.473581791E0
5.382894010E-1	-3.348755360E0	7.143772125E0	4.268795490E0
5.466924220E-1	-4.457230568E0	4.858626366E0	3.294916868E0
5.550954430E-1	-3.601796389E0	4.424927235E0	-3.092723191E-1
5.634984640E-1	-2.464607239E0	4.792225361E0	-1.496710539E0
5.719014850E-1	-1.008574724E0	4.887938499E0	-1.219741344E0
5.803045060E-1	5.724828243E-1	4.977071285E0	-1.202393413E0
5.887075260E-1	2.233700037E0	5.632704735E0	-8.859425783E-1
5.971105470E-1	2.953341246E0	5.791228771E0	-2.087737769E-1
6.055135680E-1	2.339582443E0	5.245067120E0	-3.218346536E-1
6.139165890E-1	8.123632669E-1	4.910071850E0	-8.434699774E-1
6.223196100E-1	-8.416753411E-1	5.034498692E0	-1.460219979E0
6.307226310E-1	-2.057827473E0	5.179862976E0	-1.715653777E0
6.391256510E-1	-2.161317110E0	4.902295589E0	-1.564307809E0
6.475286720E-1	-1.015753269E0	4.777868748E0	-1.121635556E0
6.559316930E-1	5.982056633E-2	5.054239750E0	-5.425725579E-1
6.643347140E-1	9.272187948E-2	5.360520840E0	-4.031906128E-1
6.727377350E-1	-9.517452121E-1	5.208576679E0	-3.188436031E-1
6.811407560E-1	-2.212762833E0	4.511068821E0	-3.427718580E-1
6.895437760E-1	-2.594418049E0	3.777668715E0	-3.661018610E-1
6.979467970E-1	-1.877767563E0	3.564707518E0	-5.449653864E-1
7.063498180E-1	-7.381857634E-1	3.984049797E0	-6.131607890E-1
7.147528390E-1	8.913264424E-2	4.558327198E0	-5.048855543E-1
7.231558600E-1	6.699903607E-1	5.026721954E0	-5.665007830E-1
7.315588810E-1	1.037288666E0	5.344369411E0	-3.379862010E-1
7.399619010E-1	1.269392371E0	5.417350292E0	-8.255238086E-2
7.483649220E-1	1.446461320E0	5.383851051E0	-1.124626622E-1
7.567679430E-1	1.481755376E0	5.375475883E0	-1.208375469E-1
7.651709640E-1	1.402792215E0	5.523830891E0	-1.698904037E-1
7.735739850E-1	1.292722464E0	5.885147095E0	-3.433700502E-1
7.819770060E-1	1.186241865E0	6.193223000E0	-3.050848842E-1
7.903800260E-1	1.227517962E0	6.361917019E0	5.982056726E-3
7.987830470E-1	1.630708575E0	6.416952133E0	1.938186288E-1
8.071860680E-1	2.338984251E0	6.669394970E0	9.930214286E-2
8.155890890E-1	2.964108944E0	7.107281685E0	6.699903309E-2
8.239921100E-1	3.403192043E0	7.575676441E0	1.088734269E-1
8.323951310E-1	3.712464333E0	7.993822098E0	1.459621787E-1
8.407981510E-1	4.029513359E0	8.325826645E0	2.279163599E-1
8.492011720E-1	4.380660057E0	8.578866959E0	2.536391914E-1
8.576041930E-1	4.682155609E0	8.896514893E0	1.333998591E-1
8.660072140E-1	4.694717884E0	9.218947411E0	2.195414752E-1
8.744102350E-1	4.417748928E0	9.526425362E0	4.193421602E-1
8.828132560E-1	4.070789337E0	9.957731247E0	4.247260094E-1
8.912162760E-1	3.790230989E0	1.053320503E1	8.913264424E-2
8.996192970E-1	3.718446493E0	1.106501007E1	-2.075773627E-1
9.080223180E-1	3.806382656E0	1.144008541E1	-5.443671346E-1
9.164253390E-1	3.776472330E0	1.168295670E1	-6.981059909E-1
9.248283600E-1	3.530609846E0	1.155434227E1	-2.171486616E-1
9.332313810E-1	3.443870068E0	1.126840019E1	5.324030295E-2
9.416344010E-1	3.649652719E0	1.127737331E1	-2.015953064E-1
9.500374220E-1	3.972085476E0	1.169252777E1	-9.409775138E-1
9.584404430E-1	4.170690060E0	1.225065327E1	-1.494317770E0
9.668434640E-1	4.064807415E0	1.251266766E1	-1.419542074E0
9.752464850E-1	3.759124279E0	1.260718441E1	-1.362712502E0
9.836495060E-1	3.324826956E0	1.264247799E1	-1.266999602E0
9.920525260E-1	2.885145903E0	1.252104282E1	-1.174277663E0
1.000455547E0	2.630310297E0	1.239183044E1	-1.298704505E0
1.008858568E0	2.563909531E0	1.233679581E1	-1.368694544E0
1.017261589E0	2.750549555E0	1.244207954E1	-1.426720500E0
1.025664610E0	2.906681299E0	1.262034512E1	-1.272981644E0
1.034067631E0	2.719442844E0	1.252403355E1	-1.057029366E0
1.042470651E0	2.214557409E0	1.218544960E1	-1.118046403E0
1.050873672E0	1.441077471E0	1.178524971E1	-1.415952802E0
1.059276693E0	5.940182209E-1	1.140957642E1	-1.909472466E0
1.067679714E0	7.776673418E-3	1.107757282E1	-2.353341103E0
1.076082735E0	-1.244267747E-1	1.091785145E1	-2.580060959E0
1.084485756E0	7.178468257E-2	1.107218838E1	-2.733201742E0
1.092888776E0	3.343969584E-1	1.145862961E1	-2.674577475E0
1.101291797E0	4.558327198E-1	1.177508068E1	-2.378465652E0
1.109694818E0	3.978067636E-1	1.187856960E1	-2.186441660E0
1.118097839E0	3.511467278E-1	1.183968639E1	-2.170290232E0
1.126500860E0	4.109672904E-1	1.180080318E1	-2.320439816E0
1.134903881E0	6.263213158E-1	1.201316643E1	-2.333600283E0
1.143306901E0	7.698906660E-1	1.226441288E1	-2.213959217E0
1.151709922E0	5.688936114E-1	1.235115242E1	-2.067996979E0
1.160112943E0	-1.196411322E-3	1.228774261E1	-2.024926186E0
1.168515964E0	-4.648058116E-1	1.230688477E1	-2.384447813E0
1.176918985E0	-6.418746710E-1	1.227338600E1	-2.843869686E0
1.185322006E0	-5.156532526E-1	1.206700420E1	-3.011367321E0
1.193725026E0	-4.546362907E-2	1.194018459E1	-2.845664263E0
1.202128047E0	5.575276613E-1	1.190130138E1	-2.662613392E0
1.210531068E0	8.877372146E-1	1.182054424E1	-2.587239504E0
1.218934089E0	8.123632669E-1	1.169910812E1	-2.608176708E0
1.227337110E0	3.457628787E-1	1.176730347E1	-2.434697151E0
1.235740131E0	-4.402793646E-1	1.182772255E1	-2.510071039E0
1.244143151E0	-1.349551916E0	1.177508068E1	-2.935993433E0
1.252546172E0	-2.093719721E0	1.170389366E1	-2.985046148E0
1.260949193E0	-2.682952404E0	1.140000534E1	-2.120040894E0
1.269352214E0	-2.732603550E0	1.096152020E1	-1.048654556E0
1.277755235E0	-1.706082582E0	1.077847004E1	6.137589812E-1
1.286158256E0	9.726824164E-1	1.062951660E1	3.277568817E0
1.294561276E0	1.493121386E0	1.100219822E1	5.630311489E0
1.302964297E0	-3.269193888E0	1.013779163E1	2.055434704E0
1.311367318E0	-7.122236729E0	1.003011417E1	-8.288737297E0
1.319770339E0	-5.646463394E0	1.376231956E1	-8.530412674E0
1.328173360E0	-4.989035130E0	1.674736595E1	5.958128572E-1
1.336576381E0	-6.436094761E0	1.879382706E1	-6.263213158E-1
1.344979401E0	-9.041878700E0	2.211745834E1	-8.263014793E0
1.353382422E0	-1.198445225E1	2.374696922E1	-7.515257835E0
1.361785443E0	-9.081958771E0	1.653739548E1	-5.000401020E0
1.370188464E0	-1.082752272E-1	8.149953842E0	-5.493920803E0
1.378591485E0	7.434499741E0	4.523033142E0	-5.538187981E0
1.386994506E0	9.251849174E0	2.674577475E0	-2.707478762E0
1.395397526E0	5.169693470E0	2.617748022E0	3.984049559E-1
1.403800547E0	7.782655358E-1	5.932405472E0	1.927418590E0
1.412203568E0	-1.474576950E0	1.024247742E1	1.168893814E0
1.420606589E0	-1.933400750E0	1.310070419E1	-9.391828626E-2
1.429009610E0	-9.212366939E-1	1.307557964E1	-5.174478889E-1
1.437412631E0	1.225125194E0	1.142154026E1	-2.368894368E-1
1.445815651E0	3.625724554E0	1.030528927E1	-1.022931710E-1
1.454218672E0	4.894518852E0	9.609575272E0	-1.124626622E-1
1.462621693E0	4.136591911E0	9.327820778E0	-2.398804724E-1
1.471024714E0	2.021337032E0	9.596415520E0	-3.732803464E-1
1.479427735E0	9.032905847E-2	1.011326504E1	-9.044869542E-1
1.487830756E0	-9.074779749E-1	1.046620655E1	-1.913061738E0
1.496233776E0	-9.212366939E-1	1.038245773E1	-2.164308071E0
1.504636797E0	-2.117647976E-1	9.938589096E0	-1.593619823E0
1.513039818E0	7.722834945E-1	9.632308006E0	-1.119242787E0
1.521442839E0	1.627717614E0	9.664610863E0	-9.607182741E-1
1.529845860E0	1.966900229E0	9.839884758E0	-1.052842021E0
1.538248881E0	1.697707653E0	9.912267685E0	-1.065404296E0
1.546651901E0	9.738788009E-1	9.755537987E0	-1.069591761E0
1.555054922E0	1.483550072E-1	9.567701340E0	-1.463211060E0
1.563457943E0	-4.271188378E-1	9.500701904E0	-1.563709617E0
1.571860964E0	-7.369893789E-1	9.565308571E0	-1.424327731E0
1.580263985E0	-8.225327730E-1	9.693324089E0	-1.070189953E0
1.588667006E0	-8.530412912E-1	9.699306488E0	-5.401797295E-1
1.597070026E0	-8.309076428E-1	9.547960281E0	-3.517449200E-1
1.605473047E0	-7.256234884E-1	9.471389771E0	-5.048855543E-1
1.613876068E0	-5.694918036E-1	9.550951958E0	-5.922235847E-1
1.622279089E0	-4.857429862E-1	9.668798447E0	-6.705885530E-1
1.630682110E0	-4.671986103E-1	9.719047546E0	-5.946164131E-1
1.639085131E0	-6.233302951E-1	9.745368004E0	-2.626122832E-1
1.647488151E0	-8.303094506E-1	9.678369522E0	-3.948157430E-1
1.655891172E0	-9.140582681E-1	9.596415520E0	-8.147560954E-1
1.664294193E0	-8.626125455E-1	9.602396965E0	-8.955138922E-1
1.672697214E0	-7.692924738E-1	9.665208817E0	-5.318048596E-1
1.681100235E0	-7.148557901E-1	9.643074989E0	-3.930211067E-1
1.689503256E0	-6.017948985E-1	9.665208817E0	-5.090730190E-1
1.697906276E0	-3.349951804E-1	9.760323524E0	-5.102694035E-1
1.706309297E0	-2.333002165E-2	9.873384476E0	-2.955136001E-1
1.714712318E0	1.333998591E-1	9.798608780E0	-3.493520916E-1
1.723115339E0	1.190429255E-1	9.716055870E0	-6.287141442E-1
1.731518360E0	-2.931207791E-2	9.744172096E0	-7.028916478E-1
1.739921381E0	-2.045863420E-1	9.815957069E0	-5.425725579E-1
1.748324401E0	-3.427718580E-1	9.803394318E0	-3.487538993E-1
1.756727422E0	-3.846462369E-1	9.790233612E0	-2.871387303E-1
1.765130443E0	-4.133601189E-1	9.641280174E0	-1.830509305E-1
1.773533464E0	-3.996013701E-1	9.614959717E0	-2.123630047E-1
1.781936485E0	-4.666004181E-1	9.710672379E0	-1.674975902E-1
1.790339506E0	-6.921239495E-1	9.780662537E0	-1.764706671E-1
1.798742526E0	-9.266205430E-1	9.747760773E0	-3.218346536E-1
1.807145547E0	-9.541380405E-1	9.658628464E0	-4.283152521E-1
1.815548568E0	-8.434699774E-1	9.636494637E0	-4.713860750E-1
1.823951589E0	-7.034898400E-1	9.684949875E0	-4.713860750E-1
1.832354610E0	-6.843472719E-1	9.822537422E0	-3.194418252E-1
1.840757631E0	-8.650053740E-1	9.829116821E0	-3.068794906E-1
1.849160651E0	-1.038485050E0	9.717252731E0	-3.523431420E-1
1.857563672E0	-9.924231768E-1	9.657432556E0	-2.817548811E-1
1.865966693E0	-1.021137118E0	9.741181374E0	-6.101697683E-2
1.874369714E0	-1.131805062E0	9.671789169E0	2.392822690E-2
1.882772735E0	-1.198205948E0	9.565906525E0	9.092725813E-2
1.891175756E0	-1.100100160E0	9.521040916E0	6.939185411E-2
1.899578776E0	-1.009172916E0	9.524032593E0	1.465603858E-1
1.907981797E0	-9.361918569E-1	9.576674461E0	7.477571070E-2
1.916384818E0	-7.112665176E-1	9.750752449E0	-7.298108935E-2
1.924787839E0	-3.637090325E-1	9.876974106E0	-8.853443712E-2
1.933190860E0	-2.153540403E-1	9.824930191E0	-6.759724021E-2
1.941593881E0	-3.236292601E-1	9.704689980E0	-1.064806059E-1
1.949996901E0	-4.396811724E-1	9.688538551E0	-1.860419661E-1
1.958399922E0	-3.206382394E-1	9.737591743E0	-2.667997181E-1
1.966802943E0	-1.196411322E-3	9.780662537E0	-3.379862010E-1
1.975205964E0	2.859423161E-1	9.824331284E0	-2.452643216E-1
1.983608985E0	3.212364316E-1	9.881759644E0	-1.603191197E-1
1.992012006E0	-2.273181453E-2	9.873384476E0	-1.603191197E-1
2.000415026E0	-4.630111754E-1	9.824331284E0	-3.828516304E-1
2.008818047E0	-6.502495408E-1	9.801001549E0	-1.968096644E-1
2.017221068E0	-5.808576941E-1	9.769296646E0	4.905286431E-2
2.025624089E0	-4.199403822E-1	9.753743172E0	9.272187948E-2
2.034027110E0	-3.415754437E-1	9.705886841E0	1.022931710E-1
2.042430131E0	-4.049852192E-1	9.587442398E0	8.015955985E-2
2.050833151E0	-4.600201547E-1	9.631709099E0	7.238288224E-2
2.059236172E0	-4.109672904E-1	9.748957634E0	2.093719877E-2
2.067639193E0	-3.248256743E-1	9.780662537E0	-1.028913707E-1
2.076042214E0	-2.602194548E-1	9.712467194E0	-3.038884699E-1
2.084445235E0	-1.788634956E-1	9.660423279E0	-2.853440940E-1
2.092848256E0	-1.256231871E-2	9.665806770E0	-1.860419661E-1
2.101251276E0	1.202393398E-1	9.720842361E0	-1.950150430E-1
2.109654297E0	6.580262631E-2	9.717252731E0	-1.166501045E-1
2.118057318E0	-1.022931710E-1	9.684949875E0	-2.219343036E-1
2.126460339E0	-1.734796464E-1	9.723235130E0	-4.037888348E-1
2.134863360E0	-1.082752272E-1	9.714262009E0	-4.175475538E-1
2.143266381E0	-1.196411322E-3	9.693324089E0	-4.354937077E-1
2.151669401E0	1.004985496E-1	9.665806770E0	-4.187439680E-1
2.160072422E0	1.866401732E-1	9.690931320E0	-3.882354796E-1
2.168475443E0	2.309073806E-1	9.732208252E0	-2.805584669E-1
2.176878464E0	2.380858511E-1	9.711869240E0	-2.303091735E-1
2.185281485E0	1.920240223E-1	9.671191216E0	-1.734796464E-1
2.193684506E0	1.447657645E-1	9.639486313E0	-2.901297510E-1
2.202087526E0	1.609173268E-1	9.643673897E0	-6.209374666E-1
2.210490547E0	2.973082066E-1	9.626923561E0	-9.451649189E-1
2.218893568E0	5.778666735E-1	9.717252731E0	-1.031306505E0
2.227296589E0	8.273184299E-1	9.876375198E0	-1.006780148E0
2.235699610E0	8.865407705E-1	9.953543663E0	-8.398807645E-1
2.244102631E0	6.675975323E-1	9.893125534E0	-6.077769399E-1
2.252505651E0	9.212367237E-2	9.693922997E0	-5.682953596E-1
2.260908672E0	-5.359922647E-1	9.530612946E0	-5.682953596E-1
2.269311693E0	-9.439685345E-1	9.589835167E0	-2.195414752E-1
2.277714714E0	-1.121635556E0	9.852447510E0	2.213360928E-2
2.286117735E0	-7.507480979E-1	1.003789139E1	-2.739782035E-1
2.294520756E0	5.443671346E-2	1.028435135E1	6.041877344E-2
2.302923776E0	5.934200287E-1	1.076112175E1	5.419743061E-1
2.311326797E0	2.985046208E-1	1.091605663E1	4.444667995E-1
2.319729818E0	-5.443671346E-1	1.048654556E1	9.571290575E-3
2.328132839E0	-1.276570916E0	1.003489971E1	-7.872386575E-1
2.336535860E0	-1.537986755E0	9.969695091E0	-1.630708575E0
2.344938881E0	-1.243071318E0	1.023350430E1	-2.257628202E0
2.353341901E0	-4.965106845E-1	1.059003448E1	-2.574079037E0
2.361744922E0	5.060819983E-1	1.078385353E1	-2.433500528E0
2.370147943E0	1.505085468E0	1.086102200E1	-2.182852507E0
2.378550964E0	2.126621008E0	1.103450203E1	-1.859821439E0
2.386953985E0	2.167897224E0	1.118405342E1	-1.741376638E0
2.395357006E0	1.683948994E0	1.129950714E1	-1.670190215E0
2.403760026E0	1.048056364E0	1.140000534E1	-1.557727575E0
2.412163047E0	6.023930907E-1	1.144546890E1	-1.337587833E0
2.420566068E0	4.450650215E-1	1.129172993E1	-1.207179070E0
2.428969089E0	2.566302419E-1	1.109910774E1	-1.134197950E0
2.437372110E0	-2.261217386E-1	1.053260708E1	-1.455434322E0
2.445775131E0	-8.015955985E-2	1.050568771E1	-1.694118381E0
2.454178151E0	4.396811724E-1	1.069531918E1	-1.328016520E0
2.462581172E0	7.932206988E-1	1.080000496E1	-1.319641709E0
2.470984193E0	7.956135273E-1	1.079701424E1	-1.289133191E0
2.479387214E0	6.388836503E-1	1.075334454E1	-1.127617717E0
2.487790235E0	5.150550604E-1	1.068215847E1	-9.409775138E-1
2.496193256E0	4.713860750E-1	1.066600704E1	-7.136593461E-1
2.504596276E0	4.145565331E-1	1.055832958E1	-2.877369225E-1
2.512999297E0	5.048855543E-1	1.036929703E1	-2.093719877E-2
2.521402318E0	7.998009920E-1	1.028554821E1	6.580262631E-2
2.529805339E0	1.189232826E0	1.027597713E1	-1.154536903E-1
2.538208360E0	1.037886858E0	1.010548782E1	-3.194418252E-1
2.546611381E0	2.249253243E-1	9.476176262E0	-4.558327198E-1
2.555014401E0	-3.714857101E-1	8.918647766E0	-6.783652306E-1
2.563417422E0	-2.967100143E-1	8.682954788E0	-7.657032609E-1
2.571820443E0	3.385843933E-1	8.686544418E0	-7.914260626E-1
2.580223464E0	1.034297585E0	8.760722160E0	-7.543373108E-1
2.588626485E0	1.634896040E0	8.852845192E0	-7.627122402E-1
2.597029506E0	2.183450699E0	9.017950058E0	-7.950153351E-1
2.605432526E0	2.639881611E0	9.207581520E0	-8.249256015E-1
2.613835547E0	2.891726255E0	9.233304024E0	-8.350951076E-1
2.622238568E0	2.871985435E0	9.047262192E0	-8.404789567E-1
2.630641589E0	2.603989124E0	8.770293236E0	-9.565308690E-1
2.639044610E0	2.152343988E0	8.595019341E0	-1.039083242E0
2.647447631E0	1.659422517E0	8.496315002E0	-1.060618639E0
2.655850651E0	1.294517040E0	8.467002869E0	-1.085743308E0
2.664253672E0	1.170090318E0	8.542376518E0	-1.031904817E0
2.672656693E0	1.197607756E0	8.643473625E0	-9.900303483E-1
2.681059714E0	9.990034699E-1	8.550751686E0	-9.026923180E-1
2.689462735E0	7.531409264E-1	8.436494827E0	-9.236295223E-1
2.697865756E0	6.119644046E-1	8.435895920E0	-9.266205430E-1
2.706268776E0	7.507480979E-1	8.696713448E0	-9.912267923E-1
2.714671797E0	1.037886858E0	8.947361946E0	-1.055832982E0
2.723074818E0	1.361516118E0	9.125627518E0	-1.034895778E0
2.731477839E0	1.656431437E0	9.187242508E0	-1.031306505E0
2.739880860E0	1.852642894E0	9.235098839E0	-1.089332461E0
2.748283881E0	1.994417667E0	9.301499367E0	-1.135394335E0
2.756686901E0	2.146361828E0	9.393623352E0	-1.148554921E0
2.765089922E0	2.277967215E0	9.535996437E0	-1.089332461E0
2.773492943E0	2.355733871E0	9.634101868E0	-1.138385415E0
2.781895964E0	2.292324066E0	9.667003632E0	-1.162911773E0
2.790298985E0	2.016551256E0	9.646066666E0	-1.211366415E0
2.798702006E0	1.556531072E0	9.634700775E0	-1.189232826E0
2.807105026E0	1.187438250E0	9.709476471E0	-1.233500123E0
2.815508047E0	9.661021233E-1	9.815358162E0	-1.292124271E0
2.823911068E0	8.937192559E-1	9.857831001E0	-1.307079315E0
2.832314089E0	9.110672474E-1	9.855438232E0	-1.347757339E0
2.840717110E0	9.493523836E-1	9.846465111E0	-1.357926846E0
2.849120131E0	9.613165259E-1	9.818349838E0	-1.350150228E0
2.857523151E0	1.037288666E0	9.809376717E0	-1.372882009E0
2.865926172E0	1.185643673E0	9.870393753E0	-1.376471281E0
2.874329193E0	1.363310695E0	9.961320877E0	-1.400399446E0
2.882732214E0	1.503290772E0	9.997213364E0	-1.424327731E0
2.891135235E0	1.624128342E0	9.893125534E0	-1.396810174E0
2.899538256E0	1.740778446E0	9.776474953E0	-1.309472203E0
2.907941276E0	1.889133453E0	9.631709099E0	-1.176072359E0
2.916344297E0	2.021935225E0	9.504889488E0	-1.140179992E0
2.924747318E0	2.139183521E0	9.535996437E0	-1.225125194E0
2.933150339E0	2.038684845E0	9.531210899E0	-1.265205026E0
2.941553360E0	1.760519266E0	9.392427444E0	-1.320838094E0
2.949956381E0	1.474576950E0	9.267401695E0	-1.328016520E0
2.958359401E0	1.319043517E0	9.202198029E0	-1.346560955E0
2.966762422E0	1.182652593E0	9.114261627E0	-1.371087432E0
2.975165443E0	1.179063320E0	9.007183075E0	-1.482951880E0
2.983568464E0	1.444068432E0	8.971888542E0	-1.618146300E0
2.991971485E0	1.822134495E0	8.998807907E0	-1.700100541E0
3.000374506E0	2.092523336E0	9.001798630E0	-1.636690736E0
3.008777526E0	2.155933142E0	8.965308189E0	-1.639083505E0
3.017180547E0	2.069791555E0	8.907880783E0	-1.604387641E0
3.025583568E0	1.983051777E0	8.849854469E0	-1.518844128E0
