"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1685722901.803	"2023-06-02 21:51:41.803 UTC+05:30"
"PAUSE"	1.254950058E2	1685723027.298	"2023-06-02 21:53:47.298 UTC+05:30"
