"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
6.722251740E-1	3.848337755E-2	1.699682474E-1	1.097997949E-1
6.806281950E-1	3.619270027E-2	1.814216375E-1	1.130067408E-1
6.890312160E-1	3.542914242E-2	1.884463727E-1	1.262926757E-1
6.974342360E-1	2.932066843E-2	1.989834905E-1	1.397313178E-1
7.058372570E-1	3.023693897E-2	2.370087355E-1	1.537808031E-1
7.142402780E-1	3.283303976E-2	2.802261710E-1	1.583621502E-1
7.226432990E-1	3.542914242E-2	3.217637837E-1	1.623326540E-1
7.310463200E-1	3.588727489E-2	3.578037918E-1	1.756185889E-1
7.394493410E-1	3.206948191E-2	3.990359604E-1	1.936385781E-1
7.478523610E-1	4.001049697E-2	4.295783341E-1	2.098260373E-1
7.562553820E-1	5.039490014E-2	4.321744442E-1	2.195995897E-1
7.646584030E-1	5.589252338E-2	4.004103839E-1	2.296785712E-1
7.730614240E-1	5.222744122E-2	3.568875194E-1	2.432699203E-1
7.814644450E-1	4.535540938E-2	3.381039500E-1	2.550287247E-1
7.898674660E-1	4.642439261E-2	3.271087110E-1	2.640387416E-1
7.982704860E-1	5.436540768E-2	2.875563502E-1	2.593046725E-1
8.066735070E-1	6.994201243E-2	1.882936656E-1	2.429644912E-1
8.150765280E-1	7.238540053E-2	6.184828654E-2	2.339545041E-1
8.234795490E-1	6.291726977E-2	-7.910472155E-2	2.635805905E-1
8.318825700E-1	4.642439261E-2	-1.759240031E-1	3.272614181E-1
8.402855910E-1	2.428117767E-2	-1.705790907E-1	3.920112252E-1
8.486886110E-1	1.038440317E-2	-1.192679256E-1	4.382829070E-1
8.570916320E-1	1.374406274E-3	-8.903098851E-2	4.741701782E-1
8.654946530E-1	-9.009996802E-2	-5.803048983E-2	4.642439187E-1
8.738976740E-1	-1.569877416E-1	-6.536065787E-2	4.066715539E-1
8.823006950E-1	-4.275930673E-2	-1.721062213E-1	4.306473136E-1
8.907037160E-1	3.619270027E-2	-1.853921413E-1	5.311316848E-1
8.991067360E-1	-2.580829710E-2	-6.948387623E-2	6.152759194E-1
9.075097570E-1	-8.063183725E-2	1.099525020E-2	6.409314871E-1
9.159127780E-1	-6.658235192E-2	6.306997687E-2	6.142069101E-1
9.243157990E-1	-5.024218559E-2	1.443126649E-1	5.774033666E-1
9.327188200E-1	-3.588727489E-2	2.066190839E-1	5.754181147E-1
9.411218410E-1	-4.871506989E-2	2.392994165E-1	6.048914790E-1
9.495248610E-1	-8.307522535E-2	2.654131353E-1	6.186355352E-1
9.579278820E-1	-9.956810623E-2	2.761029601E-1	5.754181147E-1
9.663309030E-1	-9.040539712E-2	2.996205688E-1	4.825693369E-1
9.747339240E-1	-8.215895295E-2	3.156553209E-1	3.749074936E-1
9.831369450E-1	-8.872556686E-2	3.054236174E-1	2.956500649E-1
9.915399660E-1	-8.490777016E-2	2.098260373E-1	2.829749882E-1
9.999429860E-1	-1.006370857E-1	8.399149776E-2	2.874036431E-1
1.008346007E0	-1.061347127E-1	1.058292910E-1	2.473931462E-1
1.016749028E0	-8.872556686E-2	2.241809368E-1	1.530172378E-1
1.025152049E0	-6.978929788E-2	2.614426315E-1	3.222219273E-2
1.033555070E0	-5.543438718E-2	2.102841735E-1	-8.460234851E-2
1.041958091E0	-5.039490014E-2	1.099525094E-1	-1.675248593E-1
1.050361111E0	-5.222744122E-2	-4.260659590E-2	-1.989834905E-1
1.058764132E0	-4.566083103E-2	-2.727433145E-1	-1.902789176E-1
1.067167153E0	-4.489727318E-2	-5.129590034E-1	-1.783674061E-1
1.075570174E0	-7.070557028E-2	-5.775560737E-1	-2.041756958E-1
1.083973195E0	-9.009996802E-2	-4.697415531E-1	-2.357870489E-1
1.092376216E0	-7.605048269E-2	-3.210002482E-1	-2.548760176E-1
1.100779236E0	-6.047387794E-2	-1.881409585E-1	-2.791571915E-1
1.109182257E0	-4.947862774E-2	-6.505523622E-2	-3.075616062E-1
1.117585278E0	-4.428642616E-2	-9.009997360E-3	-3.087832928E-1
1.125988299E0	-4.810422286E-2	-6.826218218E-2	-2.605263591E-1
1.134391320E0	-5.573981255E-2	-2.131856978E-1	-1.882936656E-1
1.142794341E0	-6.581879407E-2	-3.594835997E-1	-1.447708011E-1
1.151197361E0	-7.314895838E-2	-4.723376334E-1	-1.423274130E-1
1.159600382E0	-7.482878864E-2	-5.213581324E-1	-1.707318127E-1
1.168003403E0	-6.215370819E-2	-4.808894992E-1	-2.296785712E-1
1.176406424E0	-6.352811307E-2	-3.823903799E-1	-3.038965166E-1
1.184809445E0	-8.231166750E-2	-3.138227761E-1	-3.603998721E-1
1.193212466E0	-7.956285775E-2	-3.455868363E-1	-3.877353072E-1
1.201615486E0	-9.101624042E-2	-3.860554695E-1	-3.883461356E-1
1.210018507E0	-1.705790907E-1	-3.739912212E-1	-2.811424434E-1
1.218421528E0	-2.867927849E-1	-3.999522328E-1	2.580829710E-2
