"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
3.359559100E-2	-8.315058947E-1	9.710074425E0	-4.618147612E-1
4.199861100E-2	-9.332008362E-1	9.704689980E0	-5.587241054E-1
5.040163200E-2	-1.053440213E0	9.693324089E0	-6.544370055E-1
5.880465300E-2	-1.159322619E0	9.697511673E0	-6.681957245E-1
6.720767400E-2	-1.122233868E0	9.731011391E0	-5.347958803E-1
7.561069500E-2	-9.577272534E-1	9.725028992E0	-4.959124923E-1
8.401371600E-2	-8.291130662E-1	9.730413437E0	-4.809573591E-1
9.241673600E-2	-7.848458290E-1	9.751350403E0	-4.307080805E-1
1.008197570E-1	-7.914260626E-1	9.754341125E0	-3.990031779E-1
1.092227780E-1	-8.159525394E-1	9.749555588E0	-4.570291340E-1
1.176257990E-1	-8.608179688E-1	9.731609344E0	-5.258227587E-1
1.260288200E-1	-9.320043921E-1	9.742377281E0	-5.533402562E-1
1.344318410E-1	-9.822536707E-1	9.710672379E0	-5.670989752E-1
1.428348610E-1	-9.403793216E-1	9.669396400E0	-5.581258535E-1
1.512378820E-1	-8.428717852E-1	9.654440880E0	-5.641079545E-1
1.596409030E-1	-7.501499057E-1	9.701101303E0	-5.282155871E-1
1.680439240E-1	-6.975077987E-1	9.767501831E0	-5.036891699E-1
1.764469450E-1	-7.076773047E-1	9.811170578E0	-5.000999570E-1
1.848499660E-1	-7.704889178E-1	9.792626381E0	-5.054838061E-1
1.932529860E-1	-8.721838593E-1	9.734002113E0	-5.437689424E-1
2.016560070E-1	-9.619147182E-1	9.696913719E0	-5.946164131E-1
2.100590280E-1	-9.762716293E-1	9.693324089E0	-6.077769399E-1
2.184620490E-1	-9.391828775E-1	9.719645500E0	-5.676971674E-1
2.268650700E-1	-8.985049129E-1	9.739984512E0	-5.018945336E-1
2.352680910E-1	-8.410771489E-1	9.745966911E0	-4.767699242E-1
2.436711110E-1	-8.021938205E-1	9.750752449E0	-4.845465720E-1
2.520741320E-1	-7.776673436E-1	9.738189697E0	-5.335994363E-1
2.604771530E-1	-7.806583643E-1	9.742377281E0	-5.623133183E-1
2.688801740E-1	-8.015955687E-1	9.724431038E0	-5.838487148E-1
2.772831950E-1	-8.063812256E-1	9.726225853E0	-5.742774606E-1
2.856862160E-1	-8.452646136E-1	9.734002113E0	-5.401797295E-1
2.940892360E-1	-8.536394835E-1	9.748957634E0	-5.377869010E-1
3.024922570E-1	-8.943174481E-1	9.749555588E0	-5.605186820E-1
3.108952780E-1	-9.332008362E-1	9.748957634E0	-5.952146053E-1
3.192982990E-1	-9.290133715E-1	9.717850685E0	-6.119644046E-1
3.277013200E-1	-8.644071817E-1	9.710074425E0	-5.730810165E-1
3.361043410E-1	-7.812566161E-1	9.690333366E0	-5.102694035E-1
3.445073610E-1	-7.686942816E-1	9.711869240E0	-5.431707501E-1
3.529103820E-1	-7.704889178E-1	9.738788605E0	-5.557330847E-1
3.613134030E-1	-7.962117195E-1	9.758528709E0	-5.312066078E-1
3.697164240E-1	-7.968099117E-1	9.768698692E0	-5.084748268E-1
3.781194450E-1	-8.321040869E-1	9.736394882E0	-4.767699242E-1
3.865224660E-1	-8.201399446E-1	9.651450157E0	-4.540380836E-1
3.949254860E-1	-7.435696125E-1	9.667003632E0	-6.436693072E-1
4.033285070E-1	-6.909275651E-1	9.786644936E0	-6.789634228E-1
4.117315280E-1	-6.783652306E-1	9.795019150E0	-5.330012441E-1
4.201345490E-1	-8.159525394E-1	9.669396400E0	-2.907279432E-1
4.285375700E-1	-9.505487680E-1	9.600004196E0	-3.858426511E-1
4.369405910E-1	-1.038485050E0	9.675378799E0	-5.952146053E-1
