"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1685720122.854	"2023-06-02 21:05:22.854 UTC+05:30"
"PAUSE"	8.280963315E1	1685720205.664	"2023-06-02 21:06:45.664 UTC+05:30"
