"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
3.168098900E-2	-1.384846091E0	9.404391289E0	3.194418252E-1
4.008401000E-2	-1.465603828E0	9.566504478E0	-1.962114573E-1
4.848703000E-2	-2.027917147E0	9.775876999E0	9.571290575E-3
5.689005100E-2	-2.298306227E0	9.690931320E0	5.144568533E-2
6.529307200E-2	-2.260020971E0	9.535398483E0	-7.178467698E-3
7.369609300E-2	-2.019542217E0	9.427123070E0	1.914258115E-2
8.209911400E-2	-1.759322882E0	9.552745819E0	1.040877849E-1
9.050213500E-2	-1.727617979E0	9.645467758E0	1.465603858E-1
9.890515500E-2	-1.902294040E0	9.613762856E0	1.794617027E-1
1.073081760E-1	-2.029113531E0	9.585647583E0	1.477568001E-1
1.157111970E-1	-2.042274237E0	9.578469276E0	9.571290761E-2
1.241142180E-1	-2.001596212E0	9.585049629E0	8.793623000E-2
1.325172390E-1	-1.977069736E0	9.593423843E0	8.793623000E-2
1.409202600E-1	-1.928016901E0	9.597611427E0	1.004985496E-1
1.493232800E-1	-1.887937069E0	9.577870369E0	8.135596663E-2
1.577263010E-1	-1.871785522E0	9.585049629E0	8.434699476E-2
1.661293220E-1	-1.917847395E0	9.563513756E0	6.221338734E-2
1.745323430E-1	-1.969891191E0	9.559925079E0	1.495514158E-2
1.829353640E-1	-1.954936147E0	9.569496155E0	8.973085321E-3
1.913383850E-1	-1.959123492E0	9.547960281E0	3.589233849E-3
1.997414050E-1	-1.990230203E0	9.561120987E0	-1.196411345E-2
2.081444260E-1	-1.996212244E0	9.592227936E0	-1.316052489E-2
2.165474470E-1	-1.959721804E0	9.620343208E0	-1.555334684E-2
2.249504680E-1	-1.854437590E0	9.648459435E0	1.094716340E-1
2.333534890E-1	-1.860419631E0	9.592227936E0	1.842473447E-1
2.417565100E-1	-1.901097536E0	9.511469841E0	8.075776696E-2
2.501595300E-1	-1.912463546E0	9.498309135E0	4.546362907E-2
2.585625510E-1	-1.904088616E0	9.519845009E0	4.845465720E-2
2.669655720E-1	-1.841875196E0	9.562915802E0	2.153540403E-2
2.753685930E-1	-1.816152334E0	9.565308571E0	1.974078640E-2
