"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
5.689005100E-2	-2.596100792E-3	2.443389036E-2	-2.596100792E-3
6.529307200E-2	-2.596100792E-3	2.443389036E-2	-2.596100792E-3
7.369609300E-2	-2.596100792E-3	2.443389036E-2	-2.596100792E-3
8.209911400E-2	-2.596100792E-3	2.443389036E-2	-2.596100792E-3
9.050213500E-2	-3.206948051E-3	1.985253580E-2	-3.665083554E-3
9.890515500E-2	-4.123218823E-3	2.687728032E-2	-6.261184346E-3
1.073081760E-1	-6.261184346E-3	3.283303976E-2	-6.261184346E-3
1.157111970E-1	-3.512371797E-3	2.779355086E-2	-3.817795310E-3
1.241142180E-1	-9.162708884E-4	1.404948719E-2	-2.596100792E-3
1.325172390E-1	0.000000000E0	4.734066315E-3	-2.443389036E-3
1.409202600E-1	1.221694518E-3	5.344913341E-3	-2.290677279E-3
1.493232800E-1	4.581354442E-4	1.725643501E-2	-1.985253533E-3
1.577263010E-1	-2.290677279E-3	2.504473738E-2	-2.901524538E-3
1.661293220E-1	-2.748812549E-3	2.687728032E-2	-3.817795310E-3
1.745323430E-1	-4.428642802E-3	2.687728032E-2	-3.817795310E-3
1.829353640E-1	-6.413896102E-3	2.458660305E-2	-1.374406274E-3
1.913383850E-1	-5.039489828E-3	2.321219631E-2	0.000000000E0
1.997414050E-1	-8.246437646E-3	2.305948362E-2	2.137965523E-3
2.081444260E-1	-7.482878864E-3	1.435491070E-2	9.162708884E-4
2.165474470E-1	-8.551862091E-3	1.343864016E-2	4.581354442E-4
2.249504680E-1	-1.374406368E-2	2.916795574E-2	2.137965523E-3
2.333534890E-1	-7.482878864E-3	3.298575059E-2	4.581354442E-4
2.417565100E-1	-4.428642802E-3	2.947338112E-2	-4.886778072E-3
2.501595300E-1	-5.344913341E-3	2.092151903E-2	-6.261184346E-3
2.585625510E-1	-5.039489828E-3	1.374406368E-2	-7.330167107E-3
2.669655720E-1	-5.650337320E-3	1.420219894E-2	-9.009997360E-3
2.753685930E-1	-7.177455351E-3	2.321219631E-2	-1.359135192E-2
2.837716140E-1	-1.145338640E-2	4.077405483E-2	-1.740914769E-2
2.921746350E-1	-1.282779220E-2	5.451811850E-2	-2.290677279E-2
3.005776550E-1	-1.007897966E-2	5.741964281E-2	-2.764083818E-2
3.089806760E-1	-0.000000000E0	4.260659590E-2	-2.932066843E-2
3.173836970E-1	5.955760833E-3	2.855710872E-2	-3.161134571E-2
3.257867180E-1	9.315420873E-3	1.817270555E-2	-2.733541466E-2
3.341897390E-1	1.252236869E-2	1.282779220E-2	-2.672456764E-2
3.425927600E-1	1.634016447E-2	1.145338640E-2	-2.794626169E-2
3.509957800E-1	1.954711229E-2	1.466033421E-2	-2.687728032E-2
3.593988010E-1	2.137965336E-2	1.939439960E-2	-2.702999115E-2
3.678018220E-1	2.321219631E-2	2.061609551E-2	-2.504473738E-2
3.762048430E-1	2.443389036E-2	2.611372061E-2	-2.535016090E-2
3.846078640E-1	2.672456764E-2	2.489202656E-2	-2.535016090E-2
3.930108850E-1	3.558185324E-2	2.504473738E-2	-2.397575416E-2
