"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
5.703950700E-2	3.542914242E-2	-2.397575416E-2	-4.581354558E-3
6.544252700E-2	3.542914242E-2	-2.641914412E-2	-2.901524538E-3
7.384554800E-2	3.497100621E-2	-2.596100792E-2	-3.817795310E-3
8.224856900E-2	3.665083647E-2	-2.382304333E-2	-4.581354558E-3
9.065159000E-2	3.787253052E-2	-2.260134928E-2	-3.359660041E-3
9.905461100E-2	3.588727489E-2	-2.580829710E-2	-3.359660041E-3
1.074576320E-1	3.512371704E-2	-3.038965166E-2	-3.665083554E-3
1.158606520E-1	3.542914242E-2	-3.252761811E-2	-5.803049076E-3
1.242636730E-1	3.512371704E-2	-3.130592033E-2	-7.482878864E-3
1.326666940E-1	3.436015919E-2	-3.130592033E-2	-8.704573847E-3
1.410697150E-1	3.283303976E-2	-3.115320951E-2	-9.620844387E-3
1.494727360E-1	3.191677108E-2	-3.008422814E-2	-1.282779220E-2
1.578757570E-1	3.313846514E-2	-2.886253223E-2	-1.359135192E-2
1.662787770E-1	3.466558084E-2	-3.054236248E-2	-1.435491070E-2
1.746817980E-1	3.436015919E-2	-3.023693897E-2	-1.557660475E-2
1.830848190E-1	3.527642787E-2	-3.619270027E-2	-1.557660475E-2
1.914878400E-1	3.451287001E-2	-3.985778242E-2	-1.618745178E-2
1.998908610E-1	3.436015919E-2	-3.817795217E-2	-1.527118124E-2
2.082938820E-1	3.436015919E-2	-3.176405653E-2	-1.206423342E-2
2.166969020E-1	3.619270027E-2	-2.015795931E-2	-1.175880991E-2
2.250999230E-1	3.817795217E-2	-1.252236869E-2	-1.053711493E-2
2.335029440E-1	4.123219103E-2	-6.719320081E-3	-7.941014133E-3
2.419059650E-1	4.107947648E-2	-6.566607859E-3	-4.886778072E-3
2.503089860E-1	3.939964995E-2	-8.093725890E-3	-3.817795310E-3
2.587120070E-1	4.062134400E-2	-1.114796288E-2	-2.596100792E-3
2.671150270E-1	4.260659590E-2	-1.420219894E-2	2.748812549E-3
2.755180480E-1	4.092676565E-2	-1.954711229E-2	4.123218823E-3
2.839210690E-1	3.710897267E-2	-2.183778957E-2	7.024743594E-3
2.923240900E-1	3.512371704E-2	-1.771457121E-2	7.788302377E-3
3.007271110E-1	3.405473381E-2	-1.160609815E-2	7.788302377E-3
3.091301320E-1	3.390202299E-2	-3.054236295E-4	7.024743594E-3
3.175331520E-1	3.405473381E-2	8.704573847E-3	8.093725890E-3
3.259361730E-1	3.374931216E-2	1.389677543E-2	1.145338640E-2
3.343391940E-1	3.405473381E-2	1.084253844E-2	1.359135192E-2
3.427422150E-1	3.313846514E-2	6.108472589E-3	1.389677543E-2
3.511452360E-1	3.222219273E-2	1.068982761E-3	1.496575773E-2
3.595482570E-1	2.916795574E-2	-5.192201585E-3	1.603474095E-2
3.679512770E-1	2.825168520E-2	-7.482878864E-3	1.740914769E-2
3.763542980E-1	2.733541466E-2	-1.832541777E-3	1.786728203E-2
3.847573190E-1	2.641914412E-2	6.566607859E-3	1.740914769E-2
