"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
6.925139570E-1	-6.765705943E-1	9.621540070E0	1.378864050E0
7.009169780E-1	-6.083751321E-1	9.594620705E0	1.388435364E0
7.093199990E-1	-5.676971674E-1	9.565906525E0	1.450050473E0
7.177230200E-1	-5.437689424E-1	9.505488396E0	1.344766378E0
7.261260410E-1	-4.875376225E-1	9.441479683E0	1.213161111E0
7.345290610E-1	-3.846462369E-1	9.374481201E0	1.415354609E0
7.429320820E-1	-2.931207716E-1	9.290133476E0	1.563709617E0
7.513351030E-1	-2.506481707E-1	9.301499367E0	1.513460279E0
7.597381240E-1	-2.620140910E-1	9.360722542E0	1.626521230E0
7.681411450E-1	-3.008974493E-1	9.492925644E0	1.838286042E0
7.765441660E-1	-5.174478889E-1	9.576076508E0	1.871187329E0
7.849471860E-1	-7.423732281E-1	9.612566948E0	1.703091502E0
7.933502070E-1	-8.045865893E-1	9.697511673E0	1.700698733E0
8.017532280E-1	-6.741777658E-1	9.809974670E0	1.682154298E0
8.101562490E-1	-6.406782866E-1	9.763913155E0	1.445863128E0
8.185592700E-1	-6.388836503E-1	9.547960281E0	1.351346612E0
8.269622910E-1	-4.211367965E-1	9.457033157E0	1.371087432E0
8.353653110E-1	-9.212367237E-2	9.409176826E0	1.200000525E0
8.437683320E-1	1.698904037E-1	9.229715347E0	1.128814101E0
8.521713530E-1	4.510470629E-1	9.044869423E0	1.472184181E0
8.605743740E-1	7.328019142E-1	9.013762474E0	1.771885157E0
8.689773950E-1	6.532405615E-1	9.190832138E0	2.194218397E0
8.773804160E-1	2.093719877E-2	9.516255379E0	2.398804665E0
8.857834360E-1	-9.720842242E-1	9.796216011E0	2.167897224E0
8.941864570E-1	-1.904686809E0	9.807581902E0	1.704886079E0
9.025894780E-1	-2.224726915E0	9.652647018E0	1.115055323E0
9.109924990E-1	-1.669592023E0	9.569496155E0	5.670989752E-1
9.193955200E-1	-5.527420044E-1	9.656833649E0	3.690928817E-1
9.277985410E-1	3.349951804E-1	9.750752449E0	5.575276613E-1
9.362015610E-1	6.370890141E-1	9.720243454E0	7.645068169E-1
9.446045820E-1	3.050848842E-1	9.753743172E0	8.805587292E-1
9.530076030E-1	-4.995017350E-1	9.860223770E0	8.590233326E-1
9.614106240E-1	-1.460818172E0	9.865608215E0	8.727820516E-1
