"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
3.707833200E-2	3.054236295E-4	-2.367033064E-2	-3.726168349E-2
4.548135300E-2	1.374406274E-3	1.527118147E-4	-3.084778599E-2
5.388437400E-2	5.344913341E-3	7.635590737E-4	-2.855710872E-2
6.228739500E-2	7.330167107E-3	-1.313321572E-2	-1.725643501E-2
7.069041600E-2	8.246437646E-3	-1.542389300E-2	-1.206423342E-2
7.909343600E-2	6.566607859E-3	-2.061609551E-2	-1.267508045E-2
8.749645700E-2	4.123218823E-3	-1.847812906E-2	-1.404948719E-2
9.589947800E-2	3.054236295E-3	-2.870982140E-2	-1.252236869E-2
1.043024990E-1	4.734066315E-3	-4.199574888E-2	-1.450762246E-2
1.127055200E-1	5.650337320E-3	-4.275930673E-2	-1.145338640E-2
1.211085410E-1	7.482878864E-3	-3.283303976E-2	-7.330167107E-3
1.295115610E-1	4.428642802E-3	-2.199050039E-2	-4.581354558E-3
1.379145820E-1	4.123218823E-3	-1.145338640E-2	-9.315420873E-3
1.463176030E-1	4.123218823E-3	-1.985253533E-3	-1.466033421E-2
1.547206240E-1	3.359660041E-3	8.399149403E-3	-1.618745178E-2
1.631236450E-1	2.290677279E-3	1.695101149E-2	-1.588202827E-2
1.715266660E-1	-9.162708884E-4	1.466033421E-2	-1.496575773E-2
1.799296860E-1	-3.512371797E-3	1.634016447E-2	-1.252236869E-2
1.883327070E-1	-5.955760833E-3	2.229592577E-2	-9.773556143E-3
1.967357280E-1	-5.955760833E-3	2.794626169E-2	-6.719320081E-3
2.051387490E-1	-2.596100792E-3	2.473931387E-2	-8.857285604E-3
2.135417700E-1	-2.290677279E-3	2.122694254E-2	-8.857285604E-3
2.219447910E-1	-1.832541777E-3	1.542389300E-2	-8.551862091E-3
2.303478110E-1	-1.221694518E-3	8.246437646E-3	-4.123218823E-3
2.387508320E-1	-4.581354558E-3	2.443389036E-3	-5.192201585E-3
2.471538530E-1	-7.024743594E-3	4.886778072E-3	-7.177455351E-3
2.555568740E-1	-8.551862091E-3	8.093725890E-3	-7.788302377E-3
2.639598950E-1	-8.551862091E-3	1.099525020E-2	-6.719320081E-3
2.723629160E-1	-7.024743594E-3	9.162708884E-4	-4.581354558E-3
2.807659360E-1	-7.482878864E-3	-6.413896102E-3	-2.137965523E-3
2.891689570E-1	-1.068982668E-2	-9.009997360E-3	1.068982761E-3
2.975719780E-1	-9.773556143E-3	-1.420219894E-2	8.399149403E-3
3.059749990E-1	-1.084253844E-2	-2.305948362E-2	1.847812906E-2
3.143780200E-1	-1.374406368E-2	-2.840439789E-2	1.908897609E-2
3.227810410E-1	-1.664558798E-2	-2.611372061E-2	1.038440317E-2
3.311840610E-1	-1.588202827E-2	-1.175880991E-2	-2.443389036E-3
3.395870820E-1	-1.435491070E-2	6.108472589E-4	-8.857285604E-3
3.479901030E-1	-1.832541823E-2	-9.162708884E-4	-1.374406368E-2
