"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
9.813972000E-3	-2.464607358E-1	9.726225853E0	4.504488707E-1
1.821699300E-2	-3.134597540E-1	9.863214493E0	5.276173949E-1
2.662001400E-2	-1.956132501E-1	9.832108498E0	3.619144261E-1
3.502303500E-2	-1.124626622E-1	9.775876999E0	3.505485058E-1
4.342605600E-2	-9.870393574E-2	9.708877563E0	4.301098585E-1
5.182907600E-2	-1.112662554E-1	9.708877563E0	4.707878530E-1
6.023209700E-2	-1.064806059E-1	9.753145218E0	4.648058116E-1
6.863511800E-2	-1.130608693E-1	9.798608780E0	4.516452849E-1
7.703813900E-2	-1.495514214E-1	9.792626381E0	4.588237405E-1
8.544116000E-2	-1.686939895E-1	9.754940033E0	4.701896608E-1
9.384418100E-2	-1.758724600E-1	9.745368004E0	5.156532526E-1
1.022472010E-1	-1.884347796E-1	9.732208252E0	6.735795736E-1
1.106502220E-1	-2.207378894E-1	9.688538551E0	6.556333899E-1
1.190532430E-1	-1.896311939E-1	9.735198975E0	5.234299302E-1
1.274562640E-1	-1.663011760E-1	9.802198410E0	4.181457460E-1
1.358592850E-1	-1.932204217E-1	9.786644936E0	4.013960063E-1
1.442623060E-1	-2.105683982E-1	9.750154495E0	4.468596280E-1
1.526653260E-1	-2.003988922E-1	9.726225853E0	4.325026870E-1
1.610683470E-1	-1.722832322E-1	9.750752449E0	3.852444589E-1
1.694713680E-1	-1.250249892E-1	9.775279045E0	3.672982752E-1
1.778743890E-1	-5.443671346E-2	9.759127617E0	3.708875179E-1
1.862774100E-1	7.776673418E-3	9.727422714E0	3.619144261E-1
1.946804310E-1	-2.811566554E-2	9.747760773E0	4.701896608E-1
2.030834510E-1	-1.908276081E-1	9.777671814E0	6.412764788E-1
2.114864720E-1	-2.985046208E-1	9.792028427E0	6.400800347E-1
2.198894930E-1	-3.373879790E-1	9.774680138E0	6.311069727E-1
2.282925140E-1	-3.014956415E-1	9.680762291E0	6.951149702E-1
2.366955350E-1	-1.740778536E-1	9.645467758E0	7.902296782E-1
2.450985560E-1	-1.214357466E-1	9.656235695E0	9.158528447E-1
2.535015760E-1	-1.848455518E-1	9.700503349E0	9.296116233E-1
2.619045970E-1	-2.350948304E-1	9.711270332E0	9.206385016E-1
2.703076180E-1	-1.094716340E-1	9.738189697E0	8.386843204E-1
2.787106390E-1	-6.939185411E-2	9.696913719E0	8.464609981E-1
2.871136600E-1	-4.187439568E-3	9.562915802E0	8.877372146E-1
2.955166810E-1	1.704886109E-1	9.585049629E0	8.488538265E-1
3.039197010E-1	5.264209956E-2	9.699904442E0	9.008977413E-1
3.123227220E-1	-2.709871531E-1	9.733404160E0	8.333004713E-1
3.207257430E-1	-4.301098585E-1	9.765109062E0	6.089733839E-1
3.291287640E-1	-2.889333367E-1	9.821340561E0	4.552344978E-1
3.375317850E-1	-1.202393398E-1	9.833304405E0	4.348955154E-1
3.459348060E-1	-7.477571070E-2	9.795618057E0	5.359922647E-1
3.543378260E-1	-8.614161611E-2	9.721440315E0	5.455635786E-1
3.627408470E-1	1.495514158E-2	9.714859962E0	3.487538993E-1
3.711438680E-1	1.621137410E-1	9.818349838E0	2.644068897E-1
3.795468890E-1	2.075773627E-1	9.908080101E0	4.001995921E-1
