"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1685722510.742	"2023-06-02 21:45:10.742 UTC+05:30"
"PAUSE"	1.291884350E2	1685722639.931	"2023-06-02 21:47:19.931 UTC+05:30"
