"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1685723160.454	"2023-06-02 21:56:00.454 UTC+05:30"
"PAUSE"	1.182049554E2	1685723278.659	"2023-06-02 21:57:58.659 UTC+05:30"
