"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
2.556001800E-2	5.650337320E-3	-9.651386738E-2	-1.114796288E-2
3.396303900E-2	5.650337320E-3	-9.651386738E-2	-1.114796288E-2
4.236606000E-2	5.650337320E-3	-9.651386738E-2	-1.114796288E-2
5.076908100E-2	5.650337320E-3	-9.651386738E-2	-1.114796288E-2
5.917210200E-2	5.650337320E-3	-9.651386738E-2	-1.114796288E-2
6.757512200E-2	5.650337320E-3	-9.651386738E-2	-1.114796288E-2
7.597814300E-2	5.650337320E-3	-9.651386738E-2	-1.114796288E-2
8.438116400E-2	5.650337320E-3	-9.651386738E-2	-1.114796288E-2
9.278418500E-2	5.650337320E-3	-9.651386738E-2	-1.114796288E-2
1.011872060E-1	5.039489828E-3	-2.947338112E-2	-1.679830020E-3
1.095902270E-1	6.108472589E-3	-1.557660475E-2	1.527118147E-3
1.179932470E-1	4.734066315E-3	-6.108472589E-3	1.679830020E-3
1.263962680E-1	4.123218823E-3	-4.275931045E-3	1.985253533E-3
1.347992890E-1	3.359660041E-3	-3.512371797E-3	4.123218823E-3
1.432023100E-1	3.512371797E-3	-1.374406274E-3	3.970507067E-3
1.516053310E-1	3.512371797E-3	-2.901524538E-3	5.803049076E-3
1.600083520E-1	3.054236295E-3	-6.566607859E-3	6.566607859E-3
1.684113720E-1	1.221694518E-3	-7.482878864E-3	5.955760833E-3
1.768143930E-1	4.275931045E-3	-1.053711493E-2	3.970507067E-3
1.852174140E-1	7.941014133E-3	-1.099525020E-2	1.374406274E-3
1.936204350E-1	6.719320081E-3	-1.527118124E-2	1.527118147E-4
2.020234560E-1	2.596100792E-3	-2.076880634E-2	-1.221694518E-3
2.104264770E-1	1.679830020E-3	-2.122694254E-2	-2.443389036E-3
2.188294970E-1	6.108472589E-4	-1.786728203E-2	-4.886778072E-3
2.272325180E-1	0.000000000E0	-1.832541823E-2	-6.261184346E-3
2.356355390E-1	1.527118147E-4	-1.939439960E-2	-8.399149403E-3
2.440385600E-1	1.374406274E-3	-2.137965336E-2	-7.330167107E-3
2.524415810E-1	3.054236295E-3	-2.321219631E-2	-7.330167107E-3
2.608446020E-1	2.596100792E-3	-2.321219631E-2	-7.177455351E-3
2.692476220E-1	6.108472589E-4	-2.199050039E-2	-2.748812549E-3
2.776506430E-1	1.221694518E-3	-2.031067200E-2	-1.068982761E-3
2.860536640E-1	2.443389036E-3	-1.908897609E-2	-3.359660041E-3
2.944566850E-1	3.054236295E-4	-1.496575773E-2	-2.443389036E-3
3.028597060E-1	4.581354442E-4	-1.114796288E-2	-4.581354442E-4
3.112627270E-1	3.054236295E-4	-6.566607859E-3	0.000000000E0
3.196657470E-1	-1.527118147E-4	-5.192201585E-3	1.221694518E-3
3.280687680E-1	9.162708884E-4	-9.315420873E-3	0.000000000E0
3.364717890E-1	3.054236295E-3	-1.282779220E-2	-3.665083554E-3
3.448748100E-1	-3.054236295E-4	-1.206423342E-2	-3.970507067E-3
3.532778310E-1	-1.374406274E-3	-3.054236295E-4	-7.177455351E-3
3.616808520E-1	7.635590737E-4	9.468132630E-3	-9.315420873E-3
3.700838720E-1	2.290677279E-3	1.160609815E-2	-7.635590620E-3
3.784868930E-1	3.359660041E-3	5.344913341E-3	-5.803049076E-3
3.868899140E-1	1.374406274E-3	-2.137965523E-3	-3.817795310E-3
3.952929350E-1	3.054236295E-3	-1.068982761E-3	-1.679830020E-3
4.036959560E-1	1.221694518E-3	4.123218823E-3	0.000000000E0
4.120989770E-1	-3.054236295E-4	1.954711229E-2	-2.443389036E-3
4.205019970E-1	-1.679830020E-3	4.245388508E-2	-1.114796288E-2
4.289050180E-1	1.832541777E-3	5.909947306E-2	-9.773556143E-3
4.373080390E-1	3.665083554E-3	5.650337040E-2	-5.497625098E-3
4.457110600E-1	9.009997360E-3	2.901524492E-2	-1.221694518E-3
4.541140810E-1	9.926267900E-3	-3.054236295E-4	9.162708884E-4
4.625171020E-1	1.313321572E-2	-1.863084175E-2	4.734066315E-3
4.709201220E-1	1.236965694E-2	-1.924168877E-2	8.551862091E-3
4.793231430E-1	1.435491070E-2	-1.191152167E-2	6.413896102E-3
4.877261640E-1	1.450762246E-2	-3.512371797E-3	7.635590620E-3
4.961291850E-1	1.588202827E-2	4.428642802E-3	8.857285604E-3
5.045322060E-1	2.031067200E-2	-7.635590737E-4	1.114796288E-2
5.129352270E-1	2.229592577E-2	-6.566607859E-3	1.328592747E-2
5.213382470E-1	2.229592577E-2	-1.191152167E-2	1.252236869E-2
5.297412680E-1	2.565558441E-2	-1.160609815E-2	1.267508045E-2
5.381442890E-1	2.458660305E-2	-3.206948051E-3	1.175880991E-2
5.465473100E-1	2.733541466E-2	7.177455351E-3	9.620844387E-3
5.549503310E-1	2.687728032E-2	1.099525020E-2	9.009997360E-3
5.633533520E-1	2.657185495E-2	7.635590620E-3	9.009997360E-3
5.717563720E-1	2.626643144E-2	7.635590737E-4	7.788302377E-3
5.801593930E-1	2.137965336E-2	-6.413896102E-3	4.886778072E-3
5.885624140E-1	2.229592577E-2	-4.581354558E-3	7.635590737E-4
5.969654350E-1	2.428117767E-2	-2.443389036E-3	3.970507067E-3
6.053684560E-1	2.367033064E-2	6.872031838E-3	2.137965523E-3
6.137714770E-1	2.855710872E-2	1.145338640E-2	1.679830020E-3
6.221744970E-1	2.916795574E-2	5.192201585E-3	2.901524538E-3
6.305775180E-1	2.947338112E-2	-3.206948051E-3	1.679830020E-3
6.389805390E-1	2.916795574E-2	-8.704573847E-3	2.901524538E-3
6.473835600E-1	2.794626169E-2	-1.084253844E-2	3.359660041E-3
6.557865810E-1	2.687728032E-2	-1.084253844E-2	4.275931045E-3
6.641896020E-1	2.794626169E-2	-5.497625098E-3	5.344913341E-3
6.725926220E-1	2.550287358E-2	-1.374406274E-3	5.344913341E-3
6.809956430E-1	2.305948362E-2	2.596100792E-3	4.123218823E-3
6.893986640E-1	2.489202656E-2	2.443389036E-3	6.108472589E-3
6.978016850E-1	2.473931387E-2	7.024743594E-3	5.955760833E-3
7.062047060E-1	2.779355086E-2	1.328592747E-2	5.344913341E-3
7.146077270E-1	2.779355086E-2	1.267508045E-2	4.123218823E-3
7.230107470E-1	3.115320951E-2	6.413896102E-3	9.162708884E-4
7.314137680E-1	3.466558084E-2	1.527118147E-4	1.527118147E-4
7.398167890E-1	3.665083647E-2	-7.177455351E-3	-6.108472589E-4
7.482198100E-1	3.680354729E-2	-1.038440317E-2	-6.108472589E-4
7.566228310E-1	3.863608837E-2	-1.236965694E-2	-3.206948051E-3
7.650258520E-1	3.909422457E-2	-1.099525020E-2	-3.054236295E-3
7.734288720E-1	3.649812192E-2	-8.093725890E-3	-6.108472589E-4
7.818318930E-1	3.436015919E-2	-4.734066315E-3	-6.108472589E-4
7.902349140E-1	3.481829539E-2	-3.817795310E-3	-0.000000000E0
7.986379350E-1	3.268032894E-2	-3.054236295E-3	4.581354442E-4
8.070409560E-1	2.947338112E-2	4.581354558E-3	-6.108472589E-4
8.154439770E-1	3.054236248E-2	1.786728203E-2	6.108472589E-4
8.238469970E-1	3.130592033E-2	3.054236248E-2	1.068982761E-3
8.322500180E-1	3.268032894E-2	3.069507517E-2	1.985253533E-3
8.406530390E-1	3.481829539E-2	2.626643144E-2	6.261184346E-3
8.490560600E-1	3.329117596E-2	1.817270555E-2	9.162709117E-3
8.574590810E-1	3.298575059E-2	6.872031838E-3	1.313321572E-2
8.658621020E-1	3.390202299E-2	6.413896102E-3	1.298050396E-2
8.742651220E-1	3.298575059E-2	2.244863659E-2	9.620844387E-3
8.826681430E-1	3.023693897E-2	4.795150831E-2	8.246437646E-3
8.910711640E-1	2.855710872E-2	6.872031838E-2	2.748812549E-3
8.994741850E-1	2.947338112E-2	8.643488586E-2	-3.054236295E-4
9.078772060E-1	2.886253223E-2	9.819369763E-2	7.635590737E-4
9.162802270E-1	3.100049868E-2	9.743013978E-2	1.679830020E-3
9.246832470E-1	3.558185324E-2	9.101624042E-2	-1.679830020E-3
9.330862680E-1	4.123219103E-2	8.551861346E-2	-5.803049076E-3
9.414892890E-1	4.428642616E-2	8.093725890E-2	-1.267508045E-2
9.498923100E-1	5.848862603E-2	7.650861889E-2	-2.168507688E-2
9.582953310E-1	7.421794534E-2	7.040014863E-2	-2.764083818E-2
9.666983520E-1	8.842013776E-2	5.589252338E-2	-3.222219273E-2
9.751013720E-1	1.017060652E-1	3.237490356E-2	-3.817795217E-2
9.835043930E-1	1.104106456E-1	8.704573847E-3	-4.367557913E-2
9.919074140E-1	1.221694499E-1	1.221694518E-3	-4.810422286E-2
1.000310435E0	1.314848661E-1	1.221694518E-3	-4.795150831E-2
1.008713456E0	1.394258887E-1	6.566607859E-3	-4.550812021E-2
1.017116477E0	1.511846930E-1	1.175880991E-2	-4.413371533E-2
1.025519497E0	1.611109674E-1	1.695101149E-2	-3.909422457E-2
1.033922518E0	1.728697717E-1	2.015795931E-2	-3.252761811E-2
1.042325539E0	1.875301152E-1	2.809897438E-2	-2.489202656E-2
1.050728560E0	2.028012872E-1	4.825693369E-2	-1.435491070E-2
1.059131581E0	2.186833173E-1	7.192726433E-2	1.985253533E-3
1.067534602E0	2.339545041E-1	1.017060652E-1	2.092151903E-2
1.075937622E0	2.423536479E-1	1.441599578E-1	4.764608666E-2
1.084340643E0	2.405211031E-1	1.855448484E-1	8.490777016E-2
1.092743664E0	2.257080674E-1	2.156290859E-1	1.298050433E-1
1.101146685E0	2.064663768E-1	2.357870489E-1	1.739387512E-1
1.109549706E0	1.892099380E-1	2.460187376E-1	2.063136548E-1
1.117952727E0	1.742441803E-1	2.334963679E-1	2.353289127E-1
1.126355747E0	1.605001241E-1	1.953184158E-1	2.521272004E-1
1.134758768E0	1.452289373E-1	1.412584335E-1	2.542651594E-1
1.143161789E0	1.310267299E-1	6.566607952E-2	2.560977042E-1
1.151564810E0	1.215586066E-1	-3.771981969E-2	2.612899244E-1
1.159967831E0	1.152974218E-1	-1.606528312E-1	2.675510943E-1
1.168370852E0	1.038440317E-1	-2.901524603E-1	2.606790662E-1
