"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
3.396303900E-2	-1.496710539E0	9.661619186E0	-4.606183618E-2
4.236606000E-2	-1.427916884E0	9.690333366E0	-3.110669367E-2
5.076908100E-2	-1.429711580E0	9.698110580E0	-5.802594870E-2
5.917210200E-2	-1.468594909E0	9.681958199E0	-6.340979785E-2
6.757512200E-2	-1.518245935E0	9.663414001E0	-8.614161611E-2
7.597814300E-2	-1.523629785E0	9.650852203E0	-8.853443712E-2
8.438116400E-2	-1.499701619E0	9.664012909E0	-7.178468257E-2
9.278418500E-2	-1.470987678E0	9.671789169E0	-4.845465720E-2
1.011872060E-1	-1.467398524E0	9.673583984E0	-2.452643216E-2
1.095902270E-1	-1.463211060E0	9.665208817E0	-3.948157281E-2
1.179932470E-1	-1.459621787E0	9.669994354E0	-7.597211748E-2
1.263962680E-1	-1.486541033E0	9.671191216E0	-8.793623000E-2
1.347992890E-1	-1.522433400E0	9.678967476E0	-1.070788130E-1
1.432023100E-1	-1.532004714E0	9.688538551E0	-6.340979785E-2
1.516053310E-1	-1.519442320E0	9.643673897E0	-7.657032460E-2
1.600083520E-1	-1.467996716E0	9.636494637E0	-9.032905847E-2
1.684113720E-1	-1.420140266E0	9.694520950E0	-5.623133108E-2
1.768143930E-1	-1.434497118E0	9.708877563E0	-2.931207791E-2
1.852174140E-1	-1.458425403E0	9.686145782E0	-9.032905847E-2
1.936204350E-1	-1.460219979E0	9.655637741E0	-1.256231815E-1
2.020234560E-1	-1.438086390E0	9.669396400E0	-1.381855011E-1
2.104264770E-1	-1.429711580E0	9.682557106E0	-1.256231815E-1
2.188294970E-1	-1.440479279E0	9.677771568E0	-1.010967568E-1
2.272325180E-1	-1.441675663E0	9.661021233E0	-8.195417374E-2
2.356355390E-1	-1.473380566E0	9.667601585E0	-5.563312769E-2
2.440385600E-1	-1.508076429E0	9.664610863E0	-4.307080805E-2
2.524415810E-1	-1.518844128E0	9.649057388E0	-5.084748194E-2
2.608446020E-1	-1.514656782E0	9.635896683E0	-7.178468257E-2
2.692476220E-1	-1.508674622E0	9.659825325E0	-8.793623000E-2
2.776506430E-1	-1.487139225E0	9.706484795E0	-8.015955985E-2
2.860536640E-1	-1.499103427E0	9.702896118E0	-6.400800496E-2
2.944566850E-1	-1.483550072E0	9.655039787E0	-5.563312769E-2
3.028597060E-1	-1.462612867E0	9.637093544E0	-4.905286431E-2
3.112627270E-1	-1.470389485E0	9.647262573E0	-6.221338734E-2
3.196657470E-1	-1.499103427E0	9.671191216E0	-1.034895778E-1
3.280687680E-1	-1.476969719E0	9.675976753E0	-1.016949639E-1
3.364717890E-1	-1.450648785E0	9.688538551E0	-1.082752272E-1
3.448748100E-1	-1.423131227E0	9.698110580E0	-4.785645381E-2
3.532778310E-1	-1.368096352E0	9.655637741E0	9.571290575E-3
3.616808520E-1	-1.412363529E0	9.643074989E0	-2.093719877E-2
3.700838720E-1	-1.500299811E0	9.665806770E0	-5.024927482E-2
3.784868930E-1	-1.576870084E0	9.673583984E0	-1.004985496E-1
3.868899140E-1	-1.596012712E0	9.646066666E0	-8.913264424E-2
3.952929350E-1	-1.556531072E0	9.638289452E0	-7.716853172E-2
4.036959560E-1	-1.455434322E0	9.680762291E0	-1.232303679E-1
4.120989770E-1	-1.301097274E0	9.714859962E0	-3.290131316E-2
4.205019970E-1	-1.298106313E0	9.675976753E0	3.649054468E-2
4.289050180E-1	-1.476371527E0	9.664012909E0	4.366901144E-2
4.373080390E-1	-1.637887120E0	9.662816048E0	-4.725824669E-2
4.457110600E-1	-1.704287887E0	9.641280174E0	-1.124626622E-1
4.541140810E-1	-1.682154298E0	9.626325607E0	-9.272187948E-2
4.625171020E-1	-1.584048629E0	9.631111145E0	-7.597211748E-2
4.709201220E-1	-1.474576950E0	9.652647018E0	-3.349951655E-2
4.793231430E-1	-1.430907965E0	9.677172661E0	-3.649054468E-2
4.877261640E-1	-1.476969719E0	9.684949875E0	-3.469592705E-2
4.961291850E-1	-1.533201098E0	9.664012909E0	-1.615155302E-2
5.045322060E-1	-1.588834286E0	9.667003632E0	-4.127619043E-2
5.129352270E-1	-1.573879123E0	9.677771568E0	-6.939185411E-2
5.213382470E-1	-1.488335729E0	9.678369522E0	-5.922235921E-2
5.297412680E-1	-1.410568953E0	9.671191216E0	-3.349951655E-2
5.381442890E-1	-1.396810174E0	9.669396400E0	-3.828516230E-2
