"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1685719936.379	"2023-06-02 21:02:16.379 UTC+05:30"
"PAUSE"	8.191252618E1	1685720018.292	"2023-06-02 21:03:38.292 UTC+05:30"
