"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1685850862.548	"2023-06-04 09:24:22.548 UTC+05:30"
"PAUSE"	6.472867973E1	1685850927.277	"2023-06-04 09:25:27.277 UTC+05:30"
"START"	6.472867973E1	1685850934.032	"2023-06-04 09:25:34.032 UTC+05:30"
"PAUSE"	1.222105250E2	1685850991.513	"2023-06-04 09:26:31.513 UTC+05:30"
