"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
2.839973400E-2	5.955760833E-3	2.244863659E-2	-7.742489129E-2
3.680275500E-2	1.282779220E-2	2.641914412E-2	-9.254335612E-2
4.520577600E-2	2.000524849E-2	2.153236605E-2	-1.014006436E-1
5.360879700E-2	2.214321308E-2	6.566607859E-3	-8.383878320E-2
6.201181700E-2	1.572931744E-2	1.466033421E-2	-5.864133686E-2
7.041483800E-2	6.719320081E-3	4.459185153E-2	-4.184303805E-2
7.881785900E-2	-1.527118147E-4	6.566607952E-2	-3.466558084E-2
8.722088000E-2	-1.985253533E-3	7.207997888E-2	-2.825168520E-2
9.562390100E-2	1.527118147E-4	6.230641901E-2	-2.107422985E-2
1.040269220E-1	6.566607859E-3	4.459185153E-2	-1.282779220E-2
1.124299420E-1	7.330167107E-3	2.672456764E-2	-1.679830020E-3
1.208329630E-1	1.252236869E-2	1.420219894E-2	9.009997360E-3
1.292359840E-1	1.618745178E-2	6.719320081E-3	1.282779220E-2
1.376390050E-1	1.908897609E-2	7.177455351E-3	1.618745178E-2
1.460420260E-1	1.664558798E-2	4.886778072E-3	2.076880634E-2
1.544450470E-1	1.603474095E-2	1.527118147E-3	2.504473738E-2
1.628480670E-1	1.847812906E-2	3.817795310E-3	2.382304333E-2
1.712510880E-1	2.046338283E-2	1.298050396E-2	2.596100792E-2
1.796541090E-1	2.367033064E-2	1.252236869E-2	2.809897438E-2
1.880571300E-1	2.260134928E-2	1.191152167E-2	2.947338112E-2
1.964601510E-1	2.244863659E-2	1.771457121E-2	3.069507517E-2
2.048631720E-1	2.275406010E-2	1.298050396E-2	3.359659761E-2
2.132661920E-1	2.580829710E-2	6.108472589E-4	4.123219103E-2
2.216692130E-1	2.886253223E-2	-1.359135192E-2	4.474456236E-2
2.300722340E-1	2.977880463E-2	-2.305948362E-2	4.535540938E-2
2.384752550E-1	2.779355086E-2	-2.901524492E-2	4.413371533E-2
2.468782760E-1	2.473931387E-2	-2.916795574E-2	4.550812021E-2
2.552812970E-1	2.122694254E-2	-2.122694254E-2	4.367557913E-2
