"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
2.839973400E-2	-2.462812662E0	9.489336014E0	-3.720839322E-1
3.680275500E-2	-2.443071842E0	9.497711182E0	-3.834498227E-1
4.520577600E-2	-2.432304144E0	9.440881729E0	-4.725824594E-1
5.360879700E-2	-2.410170555E0	9.413364410E0	-5.898307562E-1
6.201181700E-2	-2.403590441E0	9.468399048E0	-5.407779217E-1
7.041483800E-2	-2.352144718E0	9.513264656E0	-5.054838061E-1
7.881785900E-2	-2.344966173E0	9.507881165E0	-4.815555513E-1
8.722088000E-2	-2.400001049E0	9.480961800E0	-4.546363056E-1
9.562390100E-2	-2.486740828E0	9.420542717E0	-4.199403822E-1
1.040269220E-1	-2.556730986E0	9.418149948E0	-4.354937077E-1
1.124299420E-1	-2.540579557E0	9.429515839E0	-4.103690982E-1
1.208329630E-1	-2.516651154E0	9.445069313E0	-3.655036688E-1
1.292359840E-1	-2.483749866E0	9.437891006E0	-3.457628787E-1
1.376390050E-1	-2.440080881E0	9.425926208E0	-3.906283081E-1
1.460420260E-1	-2.369492531E0	9.435498238E0	-4.229314029E-1
1.544450470E-1	-2.326421738E0	9.467801094E0	-4.037888348E-1
1.628480670E-1	-2.302493572E0	9.505488396E0	-3.948157430E-1
1.712510880E-1	-2.307279348E0	9.522835732E0	-4.103690982E-1
1.796541090E-1	-2.293520451E0	9.501300812E0	-5.090730190E-1
1.880571300E-1	-2.349751949E0	9.477970123E0	-5.180460811E-1
1.964601510E-1	-2.427518606E0	9.464211464E0	-4.929214716E-1
2.048631720E-1	-2.439482689E0	9.464211464E0	-5.090730190E-1
2.132661920E-1	-2.423929453E0	9.500701904E0	-5.276173949E-1
2.216692130E-1	-2.394019127E0	9.515657425E0	-5.120640397E-1
2.300722340E-1	-2.352742910E0	9.502496719E0	-5.174478889E-1
2.384752550E-1	-2.312064886E0	9.455238342E0	-5.389832854E-1
2.468782760E-1	-2.274976015E0	9.477372169E0	-5.138586760E-1
2.552812970E-1	-2.234896421E0	9.524630547E0	-4.833501875E-1
2.636843170E-1	-2.234896421E0	9.533005714E0	-4.630111754E-1
2.720873380E-1	-2.223530531E0	9.516255379E0	-4.695914388E-1
2.804903590E-1	-2.182254314E0	9.512067795E0	-5.353940725E-1
2.888933800E-1	-2.164308071E0	9.531808853E0	-5.820540786E-1
2.972964010E-1	-2.142174482E0	9.550951958E0	-5.874379873E-1
