"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1685721908.599	"2023-06-02 21:35:08.599 UTC+05:30"
"PAUSE"	9.119110914E1	1685721999.791	"2023-06-02 21:36:39.791 UTC+05:30"
