"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
2.648989500E-2	1.178465188E-1	9.760323524E0	2.518445849E-1
3.489291500E-2	3.050848842E-2	9.799206734E0	2.482553422E-1
4.329593600E-2	-1.375873014E-2	9.803394318E0	2.081755698E-1
5.169895700E-2	-3.170489892E-2	9.812965393E0	1.854437590E-1
6.010197800E-2	-3.708875179E-2	9.838089943E0	1.567298770E-1
6.850499900E-2	-9.990034252E-2	9.799206734E0	1.746760458E-1
7.690802000E-2	-1.483550072E-1	9.725627899E0	2.081755698E-1
8.531104000E-2	-1.160518974E-1	9.665208817E0	2.225325108E-1
9.371406100E-2	-6.221338734E-2	9.667601585E0	2.572284341E-1
1.021170820E-1	-1.136590727E-2	9.741779327E0	2.769692242E-1
1.105201030E-1	3.349951655E-2	9.809974670E0	2.620140910E-1
1.189231240E-1	3.349951655E-2	9.820742607E0	2.835494876E-1
1.273261450E-1	-9.391828626E-2	9.764511108E0	3.272185028E-1
1.357291650E-1	-1.316052526E-1	9.731609344E0	2.554338276E-1
1.441321860E-1	-8.494520187E-2	9.744770050E0	2.327020019E-1
1.525352070E-1	-1.615155302E-2	9.777671814E0	2.506481707E-1
1.609382280E-1	3.828516230E-2	9.803394318E0	2.225325108E-1
1.693412490E-1	3.409772366E-2	9.803394318E0	2.482553422E-1
1.777442700E-1	-1.016949583E-2	9.753145218E0	2.602194548E-1
1.861472900E-1	-1.794617064E-2	9.722636223E0	1.986042857E-1
1.945503110E-1	2.572284266E-2	9.786644936E0	1.710868180E-1
2.029533320E-1	3.529413417E-2	9.835099220E0	1.310070455E-1
2.113563530E-1	5.623133108E-2	9.818349838E0	1.411765367E-1
2.197593740E-1	4.067798331E-2	9.779465675E0	2.285145670E-1
2.281623950E-1	9.571290575E-3	9.725028992E0	2.745763958E-1
2.365654150E-1	1.435693540E-2	9.719645500E0	3.409772217E-1
2.449684360E-1	2.691925503E-2	9.750752449E0	3.212364316E-1
2.533714570E-1	2.333002165E-2	9.794421196E0	2.578266263E-1
2.617744780E-1	1.375873014E-2	9.803992271E0	2.458625287E-1
2.701774990E-1	-2.273181453E-2	9.782457352E0	2.273181528E-1
2.785805200E-1	-6.699903309E-2	9.787242889E0	2.703889608E-1
2.869835400E-1	-1.310070455E-1	9.823733330E0	3.092723191E-1
2.953865610E-1	-1.902294010E-1	9.828518867E0	3.481557071E-1
3.037895820E-1	-2.219343036E-1	9.790832520E0	3.110669553E-1
3.121926030E-1	-2.195414752E-1	9.765109062E0	2.805584669E-1
3.205956240E-1	-1.836491376E-1	9.798010826E0	2.991028428E-1
3.289986450E-1	-1.471585929E-1	9.822537422E0	4.534398913E-1
3.374016650E-1	-8.614161611E-2	9.786644936E0	4.618147612E-1
3.458046860E-1	-8.733802289E-2	9.730413437E0	5.335994363E-1
3.542077070E-1	-1.262213886E-1	9.744770050E0	5.898307562E-1
3.626107280E-1	-1.752742529E-1	9.769296646E0	4.737788737E-1
3.710137490E-1	-1.591227055E-1	9.790832520E0	4.031906128E-1
3.794167700E-1	-8.315058798E-2	9.802796364E0	3.672982752E-1
3.878197900E-1	1.375873014E-2	9.790832520E0	3.649054468E-1
3.962228110E-1	4.905286431E-2	9.763314247E0	3.206382394E-1
4.046258320E-1	2.871387079E-2	9.736993790E0	2.919243574E-1
4.130288530E-1	2.632104978E-2	9.733404160E0	3.230310678E-1
4.214318740E-1	5.503492057E-2	9.729815483E0	3.469592929E-1
4.298348950E-1	5.742774159E-2	9.746564865E0	3.098705411E-1
4.382379150E-1	3.948157281E-2	9.818947792E0	3.116651475E-1
4.466409360E-1	4.965107143E-2	9.919445992E0	3.278166950E-1
4.550439570E-1	-5.084748194E-2	9.900303841E0	3.565305769E-1
4.634469780E-1	-2.063809484E-1	9.816555023E0	3.655036688E-1
4.718499990E-1	-3.278166950E-1	9.767501831E0	3.696911037E-1
4.802530200E-1	-4.247260094E-1	9.756733894E0	3.696911037E-1
4.886560400E-1	-4.504488707E-1	9.941579819E0	2.757728100E-1
4.970590610E-1	-1.627119333E-1	9.981060982E0	2.715853751E-1
5.054620820E-1	-1.938186288E-1	9.439684868E0	3.134597540E-1
5.138651030E-1	-9.690931439E-2	9.516854286E0	2.650051117E-1
5.222681240E-1	4.965107143E-2	9.841081619E0	2.596212626E-1
5.306711450E-1	9.511470050E-2	9.986445427E0	3.702892959E-1
5.390741650E-1	2.033899166E-2	9.838089943E0	4.229314029E-1
5.474771860E-1	-8.733802289E-2	9.690931320E0	4.163511395E-1
5.558802070E-1	-1.555334777E-1	9.724431038E0	4.594219327E-1
5.642832280E-1	-1.914258152E-1	9.780662537E0	4.091726840E-1
5.726862490E-1	-1.986042857E-1	9.765109062E0	3.601198196E-1
5.810892700E-1	-1.094716340E-1	9.765707016E0	3.062812984E-1
5.894922900E-1	-8.135596663E-2	9.739386559E0	2.428714931E-1
5.978953110E-1	-2.691925503E-2	9.748957634E0	2.895315289E-1
6.062983320E-1	2.691925503E-2	9.763314247E0	3.379862010E-1
6.147013530E-1	1.495514158E-2	9.767501831E0	3.822534084E-1
6.231043740E-1	-4.845465720E-2	9.769296646E0	3.978067636E-1
6.315073950E-1	-9.092725813E-2	9.765707016E0	3.655036688E-1
6.399104150E-1	-9.810572863E-2	9.769296646E0	3.499503136E-1
6.483134360E-1	-1.250249892E-1	9.779465675E0	4.109672904E-1
6.567164570E-1	-1.543370634E-1	9.757930756E0	4.881358147E-1
6.651194780E-1	-1.250249892E-1	9.745368004E0	3.786641955E-1
6.735224990E-1	-1.112662554E-1	9.802198410E0	3.080759048E-1
6.819255200E-1	-1.417747438E-1	9.844670296E0	2.117647976E-1
6.903285400E-1	-1.800599098E-1	9.804591179E0	1.052841991E-1
6.987315610E-1	-2.033899277E-1	9.776474953E0	5.024927482E-2
7.071345820E-1	-1.926222295E-1	9.782457352E0	3.708875179E-2
7.155376030E-1	-1.375873089E-1	9.788438797E0	4.067798331E-2
7.239406240E-1	-4.426721856E-2	9.768698692E0	1.663011760E-1
7.323436450E-1	6.340979785E-2	9.780064583E0	3.146561682E-1
7.407466650E-1	1.160518974E-1	9.769894600E0	3.768695593E-1
7.491496860E-1	1.250249892E-1	9.763913155E0	5.030909777E-1
7.575527070E-1	6.281159073E-2	9.762716293E0	5.730810165E-1
7.659557280E-1	-3.589234129E-2	9.784850121E0	5.497509837E-1
7.743587490E-1	-1.166501045E-1	9.802796364E0	5.359922647E-1
7.827617700E-1	-1.722832322E-1	9.785448074E0	5.000999570E-1
7.911647900E-1	-1.238285750E-1	9.806385040E0	3.457628787E-1
7.995678110E-1	-3.649054468E-2	9.836894035E0	2.530409992E-1
8.079708320E-1	-5.982056609E-4	9.798010826E0	2.315055877E-1
8.163738530E-1	4.187439568E-3	9.741181374E0	2.315055877E-1
8.247768740E-1	0.000000000E0	9.753743172E0	3.152543902E-1
8.331798950E-1	1.316052489E-2	9.781859398E0	4.444667995E-1
8.415829150E-1	-6.221338734E-2	9.757332802E0	4.420739710E-1
8.499859360E-1	-1.453639716E-1	9.766903877E0	4.576273263E-1
8.583889570E-1	-2.093719840E-1	9.751948357E0	5.246263742E-1
8.667919780E-1	-2.428714931E-1	9.714262009E0	5.222335458E-1
8.751949990E-1	-3.529413342E-1	9.712467194E0	4.342973232E-1
8.835980200E-1	-3.978067636E-1	9.795019150E0	3.529413342E-1
8.920010400E-1	-3.607180119E-1	9.839286804E0	2.763710022E-1
9.004040610E-1	-2.967100143E-1	9.844670296E0	2.464607358E-1
9.088070820E-1	-2.584248483E-1	9.790233612E0	2.093719840E-1
9.172101030E-1	-2.189432681E-1	9.781260490E0	1.818545163E-1
9.256131240E-1	-1.453639716E-1	9.816555023E0	1.333998591E-1
9.340161450E-1	-1.052841991E-1	9.811769485E0	1.298106313E-1
9.424191650E-1	-1.010967568E-1	9.767501831E0	2.213360965E-1
9.508221860E-1	-1.202393398E-1	9.718449593E0	3.320041299E-1
9.592252070E-1	-1.136590764E-1	9.710074425E0	3.661018610E-1
9.676282280E-1	-5.503492057E-2	9.732208252E0	4.283152521E-1
9.760312490E-1	8.374879137E-3	9.735796928E0	4.133601189E-1
9.844342700E-1	6.400800496E-2	9.733404160E0	3.002992272E-1
9.928372900E-1	8.135596663E-2	9.730413437E0	2.201396823E-1
1.001240311E0	8.554340899E-2	9.775279045E0	2.757728100E-1
1.009643332E0	1.513460279E-1	9.834501266E0	3.367897868E-1
1.018046353E0	2.428714931E-1	9.841679573E0	3.876372576E-1
1.026449374E0	2.273181528E-1	9.747760773E0	5.114658475E-1
1.034852395E0	1.304088384E-1	9.650852203E0	5.700899959E-1
1.043255415E0	-0.000000000E0	9.588638306E0	5.712863803E-1
1.051658436E0	-2.051845491E-1	9.601201057E0	5.258227587E-1
1.060061457E0	-3.762713671E-1	9.696913719E0	4.067798555E-1
1.068464478E0	-4.474578202E-1	9.746564865E0	3.242274821E-1
1.076867499E0	-3.864408433E-1	9.752547264E0	4.007977843E-1
1.085270520E0	-2.590230405E-1	9.683155060E0	4.959124923E-1
1.093673540E0	-1.567298770E-1	9.672985077E0	5.545366406E-1
1.102076561E0	-1.884347796E-1	9.735198975E0	6.819544435E-1
1.110479582E0	-2.608176768E-1	9.777671814E0	6.065805554E-1
1.118882603E0	-1.920240223E-1	9.756135941E0	4.067798555E-1
1.127285624E0	-2.123630047E-1	9.695717812E0	4.067798555E-1
1.135688645E0	-3.589234054E-1	9.707681656E0	4.019941986E-1
1.144091665E0	-3.517449200E-1	9.765707016E0	3.343969584E-1
1.152494686E0	-2.285145670E-1	9.782457352E0	2.799602449E-1
1.160897707E0	-1.226321608E-1	9.720243454E0	6.999006122E-2
1.169300728E0	7.776673418E-3	9.662816048E0	-1.280160099E-1
1.177703749E0	1.489532143E-1	9.655637741E0	-2.051845491E-1
1.186106770E0	1.776670814E-1	9.690333366E0	-2.237289101E-1
1.194509790E0	1.112662554E-1	9.744172096E0	-2.249253243E-1
