"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
3.489291500E-2	-1.572931744E-2	-2.229592577E-2	-9.926267900E-3
4.329593600E-2	-1.771457121E-2	-1.985253580E-2	-8.857285604E-3
5.169895700E-2	-1.695101149E-2	-2.183778957E-2	-1.023169141E-2
6.010197800E-2	-1.420219894E-2	-3.588727489E-2	-1.664558798E-2
6.850499900E-2	-1.084253844E-2	-5.589252338E-2	-2.290677279E-2
7.690802000E-2	-9.009997360E-3	-6.658235192E-2	-2.580829710E-2
8.531104000E-2	-1.175880991E-2	-7.543963939E-2	-2.473931387E-2
9.371406100E-2	-1.511846948E-2	-7.696675509E-2	-2.107422985E-2
1.021170820E-1	-1.649287529E-2	-7.009471953E-2	-1.679829881E-2
1.105201030E-1	-1.817270555E-2	-6.520794332E-2	-1.267508045E-2
1.189231240E-1	-1.908897609E-2	-6.047387794E-2	-9.926267900E-3
1.273261450E-1	-1.695101149E-2	-5.100574717E-2	-4.428642802E-3
1.357291650E-1	-1.557660475E-2	-4.001049697E-2	4.581354442E-4
1.441321860E-1	-1.771457121E-2	-3.863608837E-2	1.679830020E-3
1.525352070E-1	-1.924168877E-2	-3.939964995E-2	7.635590737E-4
1.609382280E-1	-1.908897609E-2	-3.756710514E-2	-3.054236295E-4
1.693412490E-1	-1.939439960E-2	-3.145863488E-2	-3.054236295E-4
1.777442700E-1	-1.939439960E-2	-2.275406010E-2	-1.527118147E-4
1.861472900E-1	-2.061609551E-2	-2.107422985E-2	-1.527118147E-3
1.945503110E-1	-2.168507688E-2	-3.100049868E-2	-7.788302377E-3
2.029533320E-1	-2.199050039E-2	-4.062134400E-2	-1.527118124E-2
2.113563530E-1	-2.886253223E-2	-5.054761097E-2	-1.908897609E-2
2.197593740E-1	-3.084778599E-2	-4.871506989E-2	-2.443389036E-2
2.281623950E-1	-3.069507517E-2	-3.985778242E-2	-2.489202656E-2
2.365654150E-1	-2.977880463E-2	-3.038965166E-2	-2.489202656E-2
2.449684360E-1	-3.023693897E-2	-1.985253580E-2	-2.733541466E-2
2.533714570E-1	-3.023693897E-2	-1.832541823E-2	-2.779355086E-2
2.617744780E-1	-3.130592033E-2	-2.519745007E-2	-2.855710872E-2
2.701774990E-1	-3.527642787E-2	-3.390202299E-2	-2.993151546E-2
2.785805200E-1	-3.955236077E-2	-3.924693540E-2	-3.100049868E-2
2.869835400E-1	-4.107947648E-2	-4.077405483E-2	-2.977880463E-2
2.953865610E-1	-3.939964995E-2	-4.001049697E-2	-2.382304333E-2
3.037895820E-1	-3.603998944E-2	-4.092676565E-2	-2.122694254E-2
3.121926030E-1	-3.588727489E-2	-4.611896724E-2	-1.588202827E-2
3.205956240E-1	-3.848337755E-2	-5.070032179E-2	-1.175880991E-2
3.289986450E-1	-3.649812192E-2	-4.413371533E-2	-8.857285604E-3
3.374016650E-1	-2.932066843E-2	-2.932066843E-2	-5.497625098E-3
3.458046860E-1	-2.321219631E-2	-1.954711229E-2	0.000000000E0
3.542077070E-1	-1.435491070E-2	-1.145338640E-2	5.650337320E-3
3.626107280E-1	-6.261184346E-3	3.054236295E-4	7.482878864E-3
3.710137490E-1	-4.428642802E-3	4.734066315E-3	8.704573847E-3
3.794167700E-1	-3.970507067E-3	6.108472589E-3	7.177455351E-3
3.878197900E-1	-4.734066315E-3	7.330167107E-3	1.679830020E-3
3.962228110E-1	-3.817795310E-3	8.399149403E-3	-3.665083554E-3
4.046258320E-1	-9.315420873E-3	2.336490713E-2	-3.359660041E-3
4.130288530E-1	-1.175880991E-2	4.825693369E-2	-4.275931045E-3
4.214318740E-1	-1.511846948E-2	6.658235192E-2	-8.246437646E-3
4.298348950E-1	-1.618745178E-2	7.299624383E-2	-2.092151903E-2
4.382379150E-1	-2.153236605E-2	7.467607409E-2	-3.038965166E-2
4.466409360E-1	-2.260134928E-2	8.597674966E-2	-3.313846514E-2
4.550439570E-1	-2.260134928E-2	9.132166207E-2	-2.794626169E-2
4.634469780E-1	-1.817270555E-2	8.567132801E-2	-1.404948719E-2
