"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
7.394255180E-1	7.574506104E-2	5.497625098E-3	1.120904684E-1
7.478285390E-1	6.642963737E-2	-1.679830020E-3	9.132166207E-2
7.562315600E-1	5.696150661E-2	-1.679829881E-2	8.521319181E-2
7.646345810E-1	4.016320780E-2	-2.535016090E-2	8.444963396E-2
7.730376010E-1	3.252761811E-2	-3.176405653E-2	8.551861346E-2
7.814406220E-1	2.702999115E-2	-4.062134400E-2	7.788302749E-2
7.898436430E-1	2.076880634E-2	-4.413371533E-2	6.398624927E-2
7.982466640E-1	1.343864016E-2	-3.649812192E-2	5.497625470E-2
8.066496850E-1	8.857285604E-3	-2.000524849E-2	5.283828825E-2
8.150527060E-1	6.566607859E-3	-6.566607859E-3	5.268557742E-2
8.234557260E-1	3.512371797E-3	1.099525020E-2	5.176930502E-2
8.318587470E-1	3.054236295E-4	2.321219631E-2	4.520269856E-2
8.402617680E-1	-9.162708884E-4	2.504473738E-2	3.649812192E-2
8.486647890E-1	-7.635590737E-4	1.985253580E-2	3.130592033E-2
8.570678100E-1	4.581354442E-4	1.496575773E-2	2.626643144E-2
8.654708310E-1	1.679830020E-3	1.511846948E-2	2.611372061E-2
8.738738510E-1	4.123218823E-3	1.206423342E-2	2.809897438E-2
8.822768720E-1	8.246437646E-3	6.108472589E-3	2.947338112E-2
8.906798930E-1	9.926267900E-3	-5.344913341E-3	2.932066843E-2
8.990829140E-1	1.007897966E-2	-9.926267900E-3	2.825168520E-2
9.074859350E-1	9.162709117E-3	-8.857285604E-3	2.702999115E-2
9.158889560E-1	1.053711493E-2	-3.206948051E-3	2.657185495E-2
9.242919760E-1	9.926267900E-3	6.872031838E-3	2.260134928E-2
9.326949970E-1	7.788302377E-3	1.588202827E-2	1.832541823E-2
9.410980180E-1	4.581354558E-3	1.603474095E-2	1.374406368E-2
9.495010390E-1	4.275931045E-3	1.206423342E-2	1.404948719E-2
9.579040600E-1	5.039489828E-3	1.038440317E-2	1.588202827E-2
9.663070810E-1	5.497625098E-3	3.817795310E-3	1.817270555E-2
9.747101010E-1	8.551862091E-3	-3.817795310E-3	2.244863659E-2
9.831131220E-1	1.053711493E-2	-6.413896102E-3	2.260134928E-2
9.915161430E-1	1.160609815E-2	1.985253533E-3	2.092151903E-2
9.999191640E-1	8.399149403E-3	1.450762246E-2	1.893626526E-2
1.008322185E0	9.926267900E-3	2.076880634E-2	1.466033421E-2
1.016725206E0	1.588202827E-2	1.710372418E-2	1.206423342E-2
1.025128226E0	1.404948719E-2	1.710372418E-2	1.359135192E-2
1.033531247E0	8.704573847E-3	1.710372418E-2	1.664558798E-2
1.041934268E0	7.635590620E-3	1.817270555E-2	1.496575773E-2
1.050337289E0	2.000524849E-2	3.115320951E-2	1.114796288E-2
1.058740310E0	3.023693897E-2	4.917320609E-2	1.130067464E-2
1.067143331E0	3.634541109E-2	5.436540768E-2	1.557660475E-2
1.075546351E0	3.359659761E-2	5.696150661E-2	1.252236869E-2
1.083949372E0	3.344388679E-2	5.024218559E-2	4.123218823E-3
1.092352393E0	4.306473210E-2	4.474456236E-2	-4.428642802E-3
1.100755414E0	4.993676394E-2	4.825693369E-2	-4.123218823E-3
1.109158435E0	5.329642445E-2	5.436540768E-2	1.527118147E-3
1.117561456E0	5.848862603E-2	6.490252167E-2	4.581354558E-3
1.125964476E0	6.688777357E-2	7.452336699E-2	6.413896102E-3
1.134367497E0	7.452336699E-2	7.330167294E-2	1.068982668E-2
1.142770518E0	8.078455180E-2	6.490252167E-2	1.786728203E-2
1.151173539E0	8.185353130E-2	4.810422286E-2	2.825168520E-2
1.159576560E0	8.399149776E-2	3.374931216E-2	3.558185324E-2
1.167979581E0	8.796200156E-2	2.611372061E-2	4.443913698E-2
1.176382601E0	9.544488788E-2	1.832541823E-2	5.375456065E-2
1.184785622E0	1.085781008E-1	2.550287358E-2	6.872031838E-2
1.193188643E0	1.185043678E-1	5.283828825E-2	8.124268800E-2
1.201591664E0	1.229330078E-1	8.551861346E-2	9.116895497E-2
1.209994685E0	1.279724985E-1	1.078145429E-1	9.025268257E-2
1.218397706E0	1.363716573E-1	1.108687744E-1	9.361234307E-2
1.226800726E0	1.539335102E-1	9.605573118E-2	1.052184403E-1
1.235203747E0	1.617218107E-1	7.773031294E-2	1.175880954E-1
1.243606768E0	1.646233350E-1	8.108997345E-2	1.207950488E-1
1.252009789E0	1.658450365E-1	7.437065244E-2	1.175880954E-1
1.260412810E0	1.751604527E-1	6.474980712E-2	1.119377613E-1
1.268815831E0	1.869192570E-1	7.146912813E-2	1.036913246E-1
1.277218851E0	1.942494214E-1	8.002099395E-2	8.903098851E-2
1.285621872E0	1.924168915E-1	9.101624042E-2	7.589777559E-2
1.294024893E0	1.835595965E-1	1.015533581E-1	6.261184067E-2
1.302427914E0	1.789782494E-1	1.101052165E-1	5.115845799E-2
1.310830935E0	1.860029846E-1	1.099525094E-1	3.405473381E-2
1.319233956E0	1.937913001E-1	9.468132257E-2	2.504473738E-2
1.327636976E0	1.893626451E-1	8.108997345E-2	2.733541466E-2
1.336039997E0	1.730224788E-1	7.559234649E-2	2.596100792E-2
1.344443018E0	1.649287641E-1	6.917845458E-2	6.872031838E-3
1.352846039E0	1.617218107E-1	6.841489673E-2	-2.504473738E-2
1.361249060E0	1.618745178E-1	6.749862432E-2	-4.627167806E-2
1.369652081E0	1.569877416E-1	5.803048983E-2	-4.734066129E-2
1.378055101E0	1.572931707E-1	4.398100078E-2	-4.123219103E-2
1.386458122E0	1.659977436E-1	1.588202827E-2	-4.260659590E-2
1.394861143E0	1.740914732E-1	-3.420744836E-2	-4.596625641E-2
1.403264164E0	1.751604527E-1	-7.543963939E-2	-4.993676394E-2
1.411667185E0	1.725643575E-1	-8.154810965E-2	-5.329642445E-2
1.420070206E0	1.841704547E-1	-6.123743951E-2	-6.154286116E-2
1.428473226E0	2.043284029E-1	-3.130592033E-2	-6.856760383E-2
1.436876247E0	2.246390730E-1	-7.024743594E-3	-6.016845629E-2
1.445279268E0	2.435753495E-1	-4.275931045E-3	-3.970507160E-2
1.453682289E0	2.606790662E-1	-1.847812906E-2	-2.214321308E-2
1.462085310E0	2.683146596E-1	-3.649812192E-2	-1.863084175E-2
1.470488331E0	2.689255178E-1	-5.589252338E-2	-2.779355086E-2
1.478891351E0	2.799207568E-1	-7.360709459E-2	-3.695625812E-2
1.487294372E0	2.919849753E-1	-6.490252167E-2	-3.848337755E-2
1.495697393E0	3.118375242E-1	-5.436540768E-2	-3.588727489E-2
1.504100414E0	3.364241421E-1	-6.230641901E-2	-3.695625812E-2
1.512503435E0	3.578037918E-1	-5.192201585E-2	-5.100574717E-2
1.520906456E0	3.753656447E-1	-1.328592747E-2	-8.307522535E-2
1.529309476E0	3.921639323E-1	2.565558441E-2	-1.131594554E-1
1.537712497E0	4.033119082E-1	3.054236248E-2	-1.148392856E-1
1.546115518E0	4.059080184E-1	2.886253223E-2	-9.773556143E-2
1.554518539E0	4.175141156E-1	6.520794332E-2	-8.444963396E-2
1.562921560E0	4.278984964E-1	1.055238619E-1	-6.795676053E-2
1.571324581E0	4.236225784E-1	9.269607067E-2	-3.756710514E-2
1.579727601E0	4.095730782E-1	4.810422286E-2	-1.236965694E-2
1.588130622E0	3.924693763E-1	1.313321572E-2	-7.941014133E-3
1.596533643E0	3.773508966E-1	4.581354442E-4	-2.244863659E-2
1.604936664E0	3.739912212E-1	-9.926267900E-3	-2.031067200E-2
1.613339685E0	3.695625961E-1	-2.214321308E-2	-3.359660041E-3
1.621742706E0	3.629959822E-1	-3.771981969E-2	2.031067200E-2
1.630145726E0	3.545968235E-1	-6.658235192E-2	4.535540938E-2
1.638548747E0	3.419217467E-1	-1.090362370E-1	7.620319724E-2
1.646951768E0	3.283303976E-1	-1.240019947E-1	1.105633527E-1
1.655354789E0	3.104631305E-1	-1.003316641E-1	1.383569092E-1
1.663757810E0	2.971771955E-1	-3.741439432E-2	1.459924877E-1
1.672160831E0	2.877090573E-1	8.108997345E-2	1.420219839E-1
1.680563851E0	2.845021188E-1	2.483094037E-1	1.377460510E-1
1.688966872E0	2.803788781E-1	4.385883212E-1	1.441599578E-1
1.697369893E0	2.828222811E-1	6.064186096E-1	1.826433241E-1
1.705772914E0	2.661767006E-1	7.553126216E-1	2.461714447E-1
1.714175935E0	2.139492482E-1	9.245173335E-1	3.286358118E-1
1.722578956E0	1.791309565E-1	1.111894727E0	3.692571819E-1
1.730981976E0	1.644706279E-1	1.304158926E0	3.549022675E-1
1.739384997E0	1.156028435E-1	1.435491085E0	3.762819171E-1
1.747788018E0	5.848862603E-2	1.542542100E0	4.477510452E-1
1.756191039E0	-1.542389300E-2	1.703347564E0	5.648810267E-1
1.764594060E0	-1.058292910E-1	1.893168330E0	6.723901033E-1
1.772997081E0	-1.718007922E-1	2.068786860E0	7.197307944E-1
1.781400101E0	-1.811162084E-1	2.193857908E0	7.217160463E-1
1.789803122E0	-1.528645307E-1	2.229287148E0	6.855233312E-1
1.798206143E0	-1.172826737E-1	2.197523117E0	6.224533319E-1
1.806609164E0	-1.030804738E-1	2.103910685E0	5.793886185E-1
1.815012185E0	-1.007898003E-1	1.957918167E0	5.816792846E-1
1.823415206E0	-8.887827396E-2	1.819255829E0	5.798467398E-1
1.831818226E0	-8.185353130E-2	1.692810416E0	5.465555787E-1
1.840221247E0	-1.007898003E-1	1.562089205E0	4.727957845E-1
1.848624268E0	-1.612636745E-1	1.430604339E0	3.645231128E-1
1.857027289E0	-2.399102598E-1	1.317750216E0	2.443388999E-1
1.865430310E0	-3.228327632E-1	1.193595529E0	1.397313178E-1
1.873833331E0	-4.028537571E-1	1.038593054E0	6.933116168E-2
1.882236351E0	-4.688252807E-1	8.070819378E-1	3.115320951E-2
1.890639372E0	-5.263976455E-1	4.689779878E-1	9.620844387E-3
1.899042393E0	-5.757235289E-1	4.672981426E-2	-1.527118147E-4
1.907445414E0	-6.109999418E-1	-3.831539452E-1	1.435491070E-2
1.915848435E0	-6.552863717E-1	-7.809682488E-1	5.528167635E-2
1.924251456E0	-6.959077120E-1	-1.113879919E0	9.132166207E-2
1.932654476E0	-7.233958840E-1	-1.337144613E0	1.020114943E-1
1.941057497E0	-7.375980616E-1	-1.418998241E0	9.284878522E-2
1.949460518E0	-7.296570539E-1	-1.379598498E0	6.719319522E-2
1.957863539E0	-7.142331600E-1	-1.263232112E0	2.183778957E-2
1.966266560E0	-7.096518278E-1	-1.104106426E0	-4.963133857E-2
1.974669581E0	-7.127060294E-1	-9.793408513E-1	-1.272089481E-1
1.983072601E0	-7.093463540E-1	-9.017632604E-1	-1.837123185E-1
1.991475622E0	-6.881194115E-1	-8.631271720E-1	-2.024958730E-1
1.999878643E0	-6.583406329E-1	-8.486195803E-1	-1.966928244E-1
2.008281664E0	-6.300889254E-1	-8.278507590E-1	-1.827960461E-1
2.016684685E0	-6.010736823E-1	-7.857022882E-1	-1.747023165E-1
2.025087706E0	-5.734328628E-1	-7.243121266E-1	-1.750077456E-1
2.033490726E0	-5.409052372E-1	-6.546755433E-1	-1.864611208E-1
2.041893747E0	-5.244123936E-1	-5.989357233E-1	-2.078407854E-1
2.050296768E0	-5.280774832E-1	-5.793886185E-1	-2.157817930E-1
2.058699789E0	-5.363239050E-1	-5.903838873E-1	-2.032594234E-1
2.067102810E0	-5.225798488E-1	-5.799994469E-1	-1.827960461E-1
2.075505831E0	-4.982986450E-1	-5.664080977E-1	-1.539335102E-1
2.083908851E0	-4.767662883E-1	-5.485408306E-1	-1.156028435E-1
2.092311872E0	-4.129327536E-1	-4.656183124E-1	-8.658760041E-2
2.100714893E0	-3.319954872E-1	-3.171824515E-1	-6.230641901E-2
2.109117914E0	-2.808370292E-1	-1.394258887E-1	-3.512371704E-2
2.117520935E0	-2.573194206E-1	-2.199050039E-2	-3.817795310E-3
2.125923956E0	-2.046338320E-1	7.727217674E-2	2.153236605E-2
2.134326976E0	-1.157555580E-1	1.760767251E-1	4.825693369E-2
2.142729997E0	-5.314370990E-2	2.451024652E-1	1.021642014E-1
2.151133018E0	-2.183778957E-2	3.223746419E-1	1.727170646E-1
2.159536039E0	-1.466033421E-2	3.872771561E-1	2.542651594E-1
2.167939060E0	-2.107422985E-2	3.828485310E-1	3.297048211E-1
2.176342081E0	-5.039489828E-3	3.487937748E-1	3.837648034E-1
2.184745101E0	1.267508045E-2	2.936648130E-1	4.538595080E-1
2.193148122E0	1.649287529E-2	2.331909388E-1	5.522059202E-1
2.201551143E0	5.803049076E-3	2.506000996E-1	6.438329816E-1
2.209954164E0	-2.046338283E-2	3.968980014E-1	6.652126908E-1
2.218357185E0	-4.382828996E-2	6.004628539E-1	5.696150661E-1
2.226760206E0	-4.031591862E-2	7.611156702E-1	3.923166394E-1
2.235163226E0	-2.840439789E-2	7.776085734E-1	2.345653474E-1
2.243566247E0	-2.443389036E-2	6.552863717E-1	1.869192570E-1
2.251969268E0	-1.924168877E-2	5.100574493E-1	2.509055138E-1
2.260372289E0	-1.450762246E-2	3.970507085E-1	3.758237660E-1
2.268775310E0	-3.436015919E-2	3.040492237E-1	4.787515402E-1
2.277178331E0	-7.711946964E-2	2.017323077E-1	5.051707029E-1
2.285581351E0	-1.230857223E-1	1.026223376E-1	4.633276463E-1
2.293984372E0	-1.447708011E-1	1.420219894E-2	4.062134326E-1
2.302387393E0	-1.400367320E-1	-4.153761268E-2	3.868190348E-1
2.310790414E0	-1.235438585E-1	-4.963133857E-2	3.991886973E-1
2.319193435E0	-1.110214889E-1	-2.168507688E-2	4.159869850E-1
2.327596456E0	-1.038440317E-1	1.908897609E-2	4.104893506E-1
