"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
4.197478900E-2	-7.980063558E-1	9.739984512E0	-6.963114142E-1
5.037781000E-2	-7.537391186E-1	9.746564865E0	-6.987041831E-1
5.878083100E-2	-7.004988194E-1	9.735198975E0	-6.885347366E-1
6.718385100E-2	-7.645068169E-1	9.679565430E0	-7.722834945E-1
7.558687200E-2	-8.931210637E-1	9.615557671E0	-7.950153351E-1
8.398989300E-2	-9.942178130E-1	9.591629982E0	-8.069794178E-1
9.239291400E-2	-1.014556766E0	9.615557671E0	-7.106683254E-1
1.007959350E-1	-9.487541914E-1	9.672985077E0	-6.460621357E-1
1.091989560E-1	-8.673982024E-1	9.746564865E0	-6.412764788E-1
1.176019760E-1	-7.728816867E-1	9.830911636E0	-7.806583643E-1
1.260049970E-1	-7.848458290E-1	9.832706451E0	-8.045865893E-1
1.344080180E-1	-8.458628058E-1	9.728020668E0	-8.147560954E-1
1.428110390E-1	-9.092726111E-1	9.624530792E0	-8.015955687E-1
1.512140600E-1	-9.457631707E-1	9.618548393E0	-8.231309652E-1
1.596170810E-1	-9.792626500E-1	9.661021233E0	-8.811569214E-1
1.680201010E-1	-1.030110121E0	9.698110580E0	-8.398807645E-1
1.764231220E-1	-9.900303483E-1	9.728020668E0	-7.202396393E-1
1.848261430E-1	-8.703892231E-1	9.765707016E0	-6.939185858E-1
1.932291640E-1	-8.189435601E-1	9.772287369E0	-6.119644046E-1
2.016321850E-1	-7.980063558E-1	9.763314247E0	-6.598208547E-1
2.100352060E-1	-7.968099117E-1	9.754940033E0	-7.800601721E-1
2.184382260E-1	-7.938188910E-1	9.785448074E0	-8.303094506E-1
2.268412470E-1	-8.249256015E-1	9.760323524E0	-8.775677085E-1
2.352442680E-1	-8.285148144E-1	9.746564865E0	-8.488538265E-1
2.436472890E-1	-8.051848412E-1	9.714262009E0	-7.866404653E-1
2.520503100E-1	-9.194421172E-1	9.578469276E0	-8.111668825E-1
2.604533310E-1	-1.009771109E0	9.623334885E0	-7.938188910E-1
2.688563510E-1	-1.030110121E0	9.672985077E0	-7.818548083E-1
2.772593720E-1	-9.343972206E-1	9.730413437E0	-7.423732281E-1
2.856623930E-1	-8.488538265E-1	9.734002113E0	-7.998009920E-1
2.940654140E-1	-7.854440212E-1	9.844072342E0	-8.823533654E-1
3.024684350E-1	-7.495517135E-1	9.899106979E0	-8.763712645E-1
3.108714560E-1	-7.609176040E-1	9.854840279E0	-7.651050687E-1
3.192744760E-1	-7.674978375E-1	9.770493507E0	-7.357929349E-1
3.276774970E-1	-7.944171429E-1	9.714262009E0	-7.872386575E-1
3.360805180E-1	-8.554341197E-1	9.660423279E0	-7.872386575E-1
3.444835390E-1	-9.481559992E-1	9.655039787E0	-7.860422134E-1
3.528865600E-1	-9.972088337E-1	9.638887405E0	-7.764709592E-1
3.612895810E-1	-9.254241586E-1	9.667601585E0	-7.298108935E-1
