"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
4.497346500E-2	-1.527118147E-3	1.068982668E-2	-1.801999472E-2
5.337648600E-2	1.221694518E-3	4.886778072E-3	-2.718270384E-2
6.177950700E-2	1.679830020E-3	-1.068982761E-3	-3.084778599E-2
7.018252700E-2	-1.221694518E-3	-7.177455351E-3	-2.870982140E-2
7.858554800E-2	-2.748812549E-3	-6.108472589E-3	-2.596100792E-2
8.698856900E-2	-4.123218823E-3	-8.246437646E-3	-2.535016090E-2
9.539159000E-2	-2.596100792E-3	-1.359135192E-2	-2.611372061E-2
1.037946110E-1	-4.886778072E-3	-1.771457121E-2	-2.519745007E-2
1.121976320E-1	-5.955760833E-3	-1.527118124E-2	-2.061609551E-2
1.206006520E-1	-3.970507067E-3	-8.093725890E-3	-1.634016447E-2
1.290036730E-1	-5.039489828E-3	-5.039489828E-3	-1.527118124E-2
1.374066940E-1	-4.886778072E-3	-6.719320081E-3	-1.267508045E-2
1.458097150E-1	-5.497625098E-3	-9.162709117E-3	-9.773556143E-3
1.542127360E-1	-5.955760833E-3	-1.221694518E-2	-8.704573847E-3
1.626157570E-1	-3.970507067E-3	-1.007897966E-2	-5.650337320E-3
1.710187770E-1	-5.039489828E-3	-4.886778072E-3	-3.512371797E-3
1.794217980E-1	-6.566607859E-3	-2.596100792E-3	-3.665083554E-3
1.878248190E-1	-7.482878864E-3	-5.039489828E-3	-5.497625098E-3
1.962278400E-1	-5.344913341E-3	-4.123218823E-3	-7.788302377E-3
2.046308610E-1	-5.650337320E-3	-1.527118147E-4	-8.551862091E-3
2.130338820E-1	-6.261184346E-3	2.596100792E-3	-7.635590620E-3
2.214369020E-1	-3.970507067E-3	3.512371797E-3	-7.635590620E-3
2.298399230E-1	-1.374406274E-3	4.886778072E-3	-8.857285604E-3
2.382429440E-1	-2.137965523E-3	7.635590737E-4	-7.330167107E-3
2.466459650E-1	-1.374406274E-3	-1.068982761E-3	-7.788302377E-3
2.550489860E-1	-3.054236295E-4	1.221694518E-3	-9.926267900E-3
2.634520070E-1	4.581354442E-4	1.221694518E-3	-8.246437646E-3
2.718550270E-1	-1.068982761E-3	1.374406274E-3	-9.162709117E-3
2.802580480E-1	-1.527118147E-4	-5.955760833E-3	-1.252236869E-2
2.886610690E-1	9.162708884E-4	-8.551862091E-3	-1.420219894E-2
2.970640900E-1	0.000000000E0	-7.330167107E-3	-1.511846948E-2
3.054671110E-1	-1.221694518E-3	-8.704573847E-3	-1.496575773E-2
3.138701320E-1	9.162708884E-4	-6.719320081E-3	-1.389677543E-2
3.222731520E-1	4.581354442E-4	-3.665083554E-3	-1.191152167E-2
3.306761730E-1	1.527118147E-4	-3.970507067E-3	-1.023169141E-2
3.390791940E-1	-1.527118147E-4	-6.108472589E-3	-8.857285604E-3
3.474822150E-1	-1.068982761E-3	-1.068982668E-2	-6.872031838E-3
3.558852360E-1	-4.275931045E-3	-9.926267900E-3	-7.177455351E-3
3.642882570E-1	-3.817795310E-3	-7.941014133E-3	-7.482878864E-3
3.726912770E-1	-4.886778072E-3	-4.886778072E-3	-5.497625098E-3
3.810942980E-1	-6.261184346E-3	-4.581354558E-3	-7.635590620E-3
3.894973190E-1	-5.803049076E-3	-7.941014133E-3	-9.468132630E-3
3.979003400E-1	-6.261184346E-3	-7.482878864E-3	-1.038440317E-2
4.063033610E-1	-7.330167107E-3	-8.399149403E-3	-1.252236869E-2
4.147063820E-1	-6.719320081E-3	-1.175880991E-2	-9.773556143E-3
4.231094020E-1	-8.551862091E-3	-1.511846948E-2	-1.038440317E-2
4.315124230E-1	-8.551862091E-3	-1.710372418E-2	-1.374406368E-2
4.399154440E-1	-7.330167107E-3	-1.527118124E-2	-1.603474095E-2
4.483184650E-1	-8.551862091E-3	-8.551862091E-3	-1.374406368E-2
4.567214860E-1	-6.261184346E-3	-5.039489828E-3	-9.162709117E-3
4.651245070E-1	-8.093725890E-3	-8.093725890E-3	-1.527118124E-2
4.735275270E-1	-1.160609815E-2	-1.618745178E-2	-2.092151903E-2
4.819305480E-1	-1.450762246E-2	-1.740914769E-2	-2.199050039E-2
4.903335690E-1	-1.710372418E-2	-1.740914769E-2	-1.786728203E-2
4.987365900E-1	-2.046338283E-2	-1.954711229E-2	-1.328592747E-2
5.071396110E-1	-2.428117767E-2	-2.458660305E-2	-1.053711493E-2
5.155426320E-1	-2.580829710E-2	-2.886253223E-2	-9.009997360E-3
5.239456520E-1	-3.023693897E-2	-2.886253223E-2	-4.886778072E-3
5.323486730E-1	-2.809897438E-2	-2.687728032E-2	-1.527118147E-3
5.407516940E-1	-2.870982140E-2	-3.161134571E-2	-7.941014133E-3
5.491547150E-1	-2.901524492E-2	-4.474456236E-2	-2.321219631E-2
5.575577360E-1	-2.993151546E-2	-5.665608495E-2	-3.497100621E-2
5.659607570E-1	-3.115320951E-2	-4.123219103E-2	-4.535540938E-2
5.743637770E-1	-3.237490356E-2	-8.246437646E-3	-4.795150831E-2
5.827667980E-1	-2.947338112E-2	8.704573847E-3	-4.382828996E-2
5.911698190E-1	-3.298575059E-2	3.268032894E-2	-5.039490014E-2
5.995728400E-1	-3.848337755E-2	4.657710344E-2	-6.215370819E-2
6.079758610E-1	-3.649812192E-2	4.795150831E-2	-7.284353673E-2
6.163788820E-1	-3.756710514E-2	4.886778072E-3	-6.688777357E-2
6.247819020E-1	-4.993676394E-2	-3.359660041E-3	-5.803048983E-2
6.331849230E-1	-5.283828825E-2	1.832541823E-2	-8.002099395E-2
6.415879440E-1	-5.558710173E-2	2.519745007E-2	-1.224748790E-1
6.499909650E-1	-4.856235534E-2	6.215370819E-2	-1.609582454E-1
6.583939860E-1	-3.023693897E-2	1.353026628E-1	-1.754658818E-1
6.667970070E-1	-2.626643144E-2	1.976090819E-1	-1.716480851E-1
6.752000270E-1	-4.459185153E-2	2.005106062E-1	-1.342336833E-1
6.836030480E-1	-5.238015205E-2	2.261662036E-1	-8.704573661E-2
6.920060690E-1	-4.688252881E-2	2.773246467E-1	-7.009471953E-2
7.004090900E-1	-4.504998401E-2	2.802261710E-1	-6.261184067E-2
7.088121110E-1	-5.940489471E-2	2.353289127E-1	-3.176405653E-2
7.172151320E-1	-7.498150319E-2	2.060082406E-1	6.108472589E-3
7.256181520E-1	-8.964183182E-2	1.898207814E-1	2.779355086E-2
7.340211730E-1	-1.075091213E-1	1.803526580E-1	3.588727489E-2
7.424241940E-1	-1.218640283E-1	2.148655206E-1	3.665083647E-2
7.508272150E-1	-1.334701329E-1	2.469350100E-1	3.436015919E-2
7.592302360E-1	-1.386623234E-1	2.663294077E-1	3.359659761E-2
7.676332570E-1	-1.389677525E-1	2.863346636E-1	3.985778242E-2
7.760362770E-1	-1.432436854E-1	2.893888950E-1	5.238015205E-2
7.844392980E-1	-1.514901221E-1	2.608317733E-1	6.597150117E-2
7.928423190E-1	-1.568350345E-1	2.221956849E-1	8.383878320E-2
8.012453400E-1	-1.621799469E-1	2.067717910E-1	1.050657257E-1
8.096483610E-1	-1.713426560E-1	2.086043358E-1	1.240019947E-1
8.180513820E-1	-1.795890927E-1	2.231119573E-1	1.253764033E-1
8.264544020E-1	-1.829487532E-1	2.348707765E-1	1.221694499E-1
8.348574230E-1	-1.806580722E-1	2.298312783E-1	1.288887709E-1
8.432604440E-1	-1.797417998E-1	2.363978922E-1	1.346918195E-1
8.516634650E-1	-1.734806150E-1	2.391466945E-1	1.476723254E-1
8.600664860E-1	-1.702736765E-1	2.344126403E-1	1.627907902E-1
8.684695070E-1	-1.704263836E-1	2.203631550E-1	1.679829955E-1
8.768725270E-1	-1.748550236E-1	1.988307834E-1	1.605001241E-1
8.852755480E-1	-1.777565479E-1	1.704263836E-1	1.583621502E-1
8.936785690E-1	-1.792836636E-1	1.572931707E-1	1.716480851E-1
9.020815900E-1	-1.843231618E-1	1.441599578E-1	1.908897758E-1
9.104846110E-1	-1.863084137E-1	1.120904684E-1	2.086043358E-1
9.188876320E-1	-1.928750277E-1	7.620319724E-2	2.150182426E-1
9.272906520E-1	-2.052446753E-1	5.573981255E-2	2.206685692E-1
9.356936730E-1	-2.104368806E-1	4.199574888E-2	2.374668717E-1
9.440966940E-1	-2.041756958E-1	7.941014133E-3	2.629697323E-1
9.524997150E-1	-2.145601064E-1	-5.161659420E-2	2.835858464E-1
9.609027360E-1	-2.264716178E-1	-8.063183725E-2	2.976353168E-1
9.693057570E-1	-2.357870489E-1	-9.468132257E-2	3.077143133E-1
9.777087770E-1	-2.402156889E-1	-9.086353332E-2	3.148917556E-1
9.861117980E-1	-2.243336588E-1	-5.971032009E-2	3.243598938E-1
9.945148190E-1	-2.089097649E-1	-3.420744836E-2	3.358132839E-1
1.002917840E0	-2.101314515E-1	-5.711421743E-2	3.550549746E-1
1.011320861E0	-2.228065431E-1	-1.230857223E-1	3.852919042E-1
1.019723882E0	-2.279987335E-1	-1.716480851E-1	4.004103839E-1
1.028126902E0	-2.354816198E-1	-1.835595965E-1	4.052971601E-1
1.036529923E0	-2.315111160E-1	-1.760767251E-1	4.117110670E-1
1.044932944E0	-1.866138428E-1	-1.699682474E-1	4.181249440E-1
1.053335965E0	-1.516428292E-1	-1.487413049E-1	4.300364852E-1
1.061738986E0	-1.554606259E-1	-1.766875684E-1	4.766135812E-1
1.070142007E0	-1.676775664E-1	-2.418955117E-1	5.441122055E-1
1.078545027E0	-1.725643575E-1	-2.643441558E-1	5.661026835E-1
1.086948048E0	-1.553079188E-1	-1.925695986E-1	5.422796607E-1
1.095351069E0	-1.394258887E-1	-5.314370990E-2	5.167768002E-1
1.103754090E0	-1.076618284E-1	1.878355257E-2	5.115845799E-1
1.112157111E0	-7.040014863E-2	1.863084175E-2	5.204418898E-1
1.120560132E0	-4.917320609E-2	-2.993151546E-2	5.428904891E-1
1.128963152E0	-7.055285573E-2	-1.156028435E-1	5.851916671E-1
1.137366173E0	-7.956285775E-2	-1.783674061E-1	6.329904795E-1
1.145769194E0	-7.391251624E-2	-1.659977436E-1	6.737645268E-1
1.154172215E0	-8.063183725E-2	-9.193251282E-2	7.001836896E-1
1.162575236E0	-8.383878320E-2	-4.367557913E-2	6.939224601E-1
1.170978257E0	-6.704048812E-2	-2.290677279E-2	6.810947061E-1
1.179381277E0	-6.322269142E-2	-1.221694518E-3	6.960604787E-1
1.187784298E0	-7.879929990E-2	-3.481829539E-2	7.325585485E-1
1.196187319E0	-7.986827940E-2	-9.055810422E-2	7.682931423E-1
1.204590340E0	-6.398624927E-2	-9.972081333E-2	7.876875401E-1
1.212993361E0	-5.268557742E-2	-8.597674966E-2	8.086090684E-1
1.221396382E0	-3.359659761E-2	-9.345962852E-2	8.160919547E-1
1.229799402E0	-2.718270384E-2	-1.070509851E-1	7.980719209E-1
1.238202423E0	-2.611372061E-2	-1.620272398E-1	7.849387527E-1
1.246605444E0	-2.702999115E-2	-1.695101112E-1	7.722636461E-1
1.255008465E0	-3.237490356E-2	-8.903098851E-2	7.432484031E-1
1.263411486E0	-3.634541109E-2	-2.626643144E-2	6.859814525E-1
1.271814507E0	-2.855710872E-2	7.482878864E-3	6.125270724E-1
1.280217527E0	-2.657185495E-2	-2.137965336E-2	5.752654076E-1
1.288620548E0	-2.137965336E-2	-7.650861889E-2	5.654918551E-1
1.297023569E0	-1.359135192E-2	-1.866138428E-1	5.473191738E-1
1.305426590E0	-2.168507688E-2	-3.471139669E-1	5.236487985E-1
1.313829611E0	-1.847812906E-2	-4.541649222E-1	5.015056133E-1
1.322232632E0	-1.130067464E-2	-4.663818777E-1	4.775298536E-1
1.330635652E0	5.650337320E-3	-4.350759685E-1	4.637857676E-1
1.339038673E0	2.000524849E-2	-3.874298632E-1	4.544703662E-1
1.347441694E0	3.710897267E-2	-3.495573401E-1	4.370612204E-1
1.355844715E0	4.688252881E-2	-3.350497186E-1	4.149180055E-1
1.364247736E0	5.451811850E-2	-3.642176688E-1	4.078932703E-1
1.372650757E0	5.894676223E-2	-3.956763148E-1	4.199574888E-1
1.381053777E0	5.696150661E-2	-4.086568058E-1	4.373666346E-1
1.389456798E0	6.551336497E-2	-3.914003670E-1	4.526378214E-1
1.397859819E0	7.559234649E-2	-3.553603888E-1	4.579827189E-1
1.406262840E0	8.872556686E-2	-3.122956753E-1	4.656183124E-1
1.414665861E0	9.605573118E-2	-2.632751763E-1	4.720322192E-1
1.423068882E0	9.177979827E-2	-2.150182426E-1	4.772244096E-1
1.431471902E0	9.666658193E-2	-2.147128135E-1	4.839437306E-1
1.439874923E0	9.972081333E-2	-2.240282297E-1	4.880669713E-1
1.448277944E0	1.024696305E-1	-2.321219593E-1	5.039489865E-1
1.456680965E0	1.104106456E-1	-2.243336588E-1	5.412106514E-1
1.465083986E0	1.198787764E-1	-2.312056869E-1	5.716003180E-1
1.473487007E0	1.243074164E-1	-2.478512824E-1	5.803049207E-1
1.481890027E0	1.269035190E-1	-2.240282297E-1	5.795413256E-1
1.490293048E0	1.380514801E-1	-1.818797737E-1	5.943543911E-1
1.498696069E0	1.432436854E-1	-1.510319859E-1	6.169557571E-1
1.507099090E0	1.502684206E-1	-1.447708011E-1	6.339067221E-1
1.515502111E0	1.615691036E-1	-1.484358907E-1	6.442911625E-1
1.523905132E0	1.721062213E-1	-1.878355294E-1	6.543701291E-1
1.532308152E0	1.879882365E-1	-2.160872221E-1	6.626165509E-1
1.540711173E0	2.113531530E-1	-2.063136548E-1	6.717792749E-1
1.549114194E0	2.281514555E-1	-2.090624720E-1	6.876612902E-1
1.557517215E0	2.415900975E-1	-2.153236568E-1	7.033905983E-1
1.565920236E0	2.635805905E-1	-1.980672181E-1	7.110261917E-1
1.574323257E0	2.739650011E-1	-1.814216375E-1	7.159129977E-1
1.582726277E0	2.927485406E-1	-1.969982386E-1	7.490514517E-1
1.591129298E0	3.153499067E-1	-2.099787444E-1	8.234221339E-1
1.599532319E0	3.184041381E-1	-1.727170646E-1	8.478559852E-1
1.607935340E0	3.179459870E-1	-2.246390730E-1	8.090671897E-1
1.616338361E0	3.133646548E-1	-3.268032968E-1	8.231166601E-1
1.624741382E0	3.095468581E-1	-3.811686933E-1	8.845068216E-1
1.633144402E0	3.096995652E-1	-4.283566475E-1	9.571976662E-1
1.641547423E0	3.133646548E-1	-4.668400288E-1	1.015075445E0
1.649950444E0	3.132119179E-1	-5.062396526E-1	1.081505060E0
1.658353465E0	3.067980409E-1	-5.131117105E-1	1.162136912E0
1.666756486E0	3.225273490E-1	-4.369085133E-1	1.246891975E0
1.675159507E0	3.434488773E-1	-3.237490356E-1	1.365854502E0
1.683562527E0	4.014793634E-1	-3.558185324E-2	1.514290333E0
1.691965548E0	4.631749392E-1	3.744493723E-1	1.650662065E0
1.700368569E0	4.486673176E-1	6.146650314E-1	1.733737230E0
1.708771590E0	3.805578351E-1	5.596888065E-1	1.752062678E0
1.717174611E0	2.993151546E-1	3.362714052E-1	1.722894669E0
1.725577632E0	2.205158621E-1	5.741964281E-2	1.689450860E0
1.733980652E0	1.513374150E-1	-1.794363856E-1	1.724421859E0
1.742383673E0	9.483403713E-2	-3.066453338E-1	1.812689185E0
1.750786694E0	4.535540938E-2	-3.393256664E-1	1.917144179E0
1.759189715E0	1.924168877E-2	-3.590254784E-1	2.046338320E0
1.767592736E0	2.107422985E-2	-4.059080184E-1	2.232952118E0
1.775995757E0	3.726168349E-2	-5.937435627E-1	2.494700193E0
1.784398777E0	-1.160609815E-2	-7.282826304E-1	2.725600481E0
1.792801798E0	2.596100792E-3	-4.133908749E-1	2.583273172E0
1.801204819E0	1.090362370E-1	-1.908897758E-1	2.237228155E0
1.809607840E0	1.852394342E-1	-1.812689304E-1	2.013505220E0
1.818010861E0	1.971509457E-1	-1.490467340E-1	1.986169815E0
1.826413882E0	2.112004459E-1	-9.910997003E-2	2.011061907E0
1.834816902E0	2.365505993E-1	-1.488940120E-1	1.931499004E0
1.843219923E0	2.011214644E-1	-2.429644912E-1	1.686549306E0
1.851622944E0	1.336228400E-1	-3.436015844E-1	1.373795509E0
1.860025965E0	8.078455180E-2	-5.299099684E-1	1.147476554E0
1.868428986E0	5.192201585E-2	-5.033381581E-1	9.202414155E-1
1.876832007E0	2.519745007E-2	-2.641914487E-1	6.534538269E-1
1.885235027E0	2.687728032E-2	-1.728697717E-1	4.741701782E-1
1.893638048E0	9.575030953E-2	-4.703523964E-2	3.881934285E-1
1.902041069E0	2.067717910E-1	1.328592747E-1	3.750602305E-1
1.910444090E0	2.315111160E-1	1.986780763E-1	2.867927849E-1
1.918847111E0	1.243074164E-1	3.107685447E-1	4.260659590E-2
1.927250132E0	-4.734066315E-3	4.619532526E-1	-2.615953386E-1
1.935653152E0	-7.299624383E-2	5.294518471E-1	-5.349494815E-1
1.944056173E0	-8.551861346E-2	5.094466209E-1	-7.919634581E-1
1.952459194E0	-9.895725548E-2	5.176930428E-1	-1.072342396E0
1.960862215E0	-1.039967462E-1	5.163186193E-1	-1.331952453E0
1.969265236E0	-9.086353332E-2	4.253024161E-1	-1.554453611E0
1.977668257E0	-7.696675509E-2	2.835858464E-1	-1.750382781E0
1.986071277E0	-5.726693198E-2	1.582094431E-1	-1.932415247E0
1.994474298E0	-4.001049697E-2	5.299099907E-2	-2.102536201E0
2.002877319E0	-2.122694254E-2	-2.596100792E-2	-2.282888889E0
2.011280340E0	-1.832541777E-3	-9.162709117E-2	-2.472098827E0
2.019683361E0	5.344913341E-3	-1.927223057E-1	-2.663446665E0
2.028086382E0	7.941014133E-3	-2.974826097E-1	-2.857390881E0
2.036489402E0	1.801999472E-2	-3.553603888E-1	-3.053778172E0
2.044892423E0	2.214321308E-2	-3.982724249E-1	-3.250776291E0
2.053295444E0	6.261184346E-3	-4.485146105E-1	-3.457700968E0
2.061698465E0	-2.718270384E-2	-4.895940721E-1	-3.667679548E0
2.070101486E0	-6.536065787E-2	-5.044071078E-1	-3.837800503E0
2.078504507E0	-1.009425074E-1	-4.605788291E-1	-3.954930544E0
2.086907527E0	-1.269035190E-1	-3.307738006E-1	-4.044572353E0
2.095310548E0	-1.389677525E-1	-1.430909634E-1	-4.178042412E0
2.103713569E0	-1.499630064E-1	4.367557913E-2	-4.368321419E0
2.112116590E0	-1.606528312E-1	1.989834905E-1	-4.579063892E0
2.120519611E0	-1.769929975E-1	3.147390485E-1	-4.762775898E0
2.128922632E0	-1.901262105E-1	4.366030693E-1	-4.907241344E0
2.137325652E0	-1.959292591E-1	5.942016840E-1	-5.030021667E0
2.145728673E0	-1.759240031E-1	7.843278646E-1	-5.141959667E0
2.154131694E0	-1.188097894E-1	9.866710305E-1	-5.248704910E0
2.162534715E0	-5.207473040E-2	1.149309158E0	-5.342011929E0
2.170937736E0	3.512371797E-3	1.203216434E0	-5.360490322E0
2.179340757E0	4.428642616E-2	1.178018928E0	-5.266419411E0
2.187743777E0	4.627167806E-2	1.152821541E0	-5.148526192E0
2.196146798E0	-1.466033421E-2	1.064706802E0	-5.005740643E0
2.204549819E0	-8.735115826E-2	1.001178622E0	-4.790722370E0
2.212952840E0	-1.114796251E-1	1.000262380E0	-4.550201416E0
2.221355861E0	-8.872556686E-2	9.616262913E-1	-4.284329891E0
2.229758882E0	-5.772506446E-2	8.535063267E-1	-3.944087982E0
2.238161902E0	-5.696150661E-2	7.036960125E-1	-3.500918388E0
2.246564923E0	-6.413896382E-2	6.844543815E-1	-2.963678122E0
2.254967944E0	-6.459710002E-2	7.365291119E-1	-2.377264738E0
2.263370965E0	-6.215370819E-2	7.266027927E-1	-1.798792481E0
2.271773986E0	-7.742489129E-2	6.427640319E-1	-1.263232112E0
2.280177007E0	-1.206423342E-1	5.167768002E-1	-7.105680704E-1
2.288580027E0	-1.980672181E-1	3.674246371E-1	-9.254335612E-2
2.296983048E0	-3.100049794E-1	2.753393948E-1	5.257867575E-1
2.305386069E0	-3.849864900E-1	2.985515893E-1	1.071120620E0
2.313789090E0	-3.687990308E-1	4.170559645E-1	1.543611050E0
2.322192111E0	-3.442124426E-1	6.629219651E-1	1.913937211E0
2.330595132E0	-4.231644273E-1	1.160609841E0	2.033663273E0
2.338998152E0	-6.317687631E-1	2.040993452E0	1.375017166E0
2.347401173E0	-6.676560640E-1	2.789433956E0	-2.538070381E-1
2.355804194E0	-7.258392572E-1	2.318165302E0	-1.847049356E0
2.364207215E0	-8.962656260E-1	2.466295809E-1	-5.398362875E-1
2.372610236E0	-7.806627750E-1	-6.024481058E-1	2.688644171E0
2.381013257E0	-6.157340407E-1	-9.315420873E-3	4.443913937E0
2.389416277E0	-5.085303187E-1	6.340594292E-1	3.656989813E0
2.397819298E0	-5.951179266E-1	9.446752667E-1	1.415180445E0
2.406222319E0	-7.423321605E-1	1.234216928E0	-6.749862432E-2
2.414625340E0	-7.815790772E-1	1.220778227E0	-6.398624927E-2
2.423028361E0	-6.339067221E-1	9.071081877E-1	8.693883419E-1
2.431431382E0	-4.440859556E-1	5.491516590E-1	1.595074892E0
2.439834402E0	-3.226800561E-1	6.826218218E-2	1.789324284E0
2.448237423E0	-3.504736125E-1	-1.238492802E-1	1.540556788E0
2.456640444E0	-5.111264586E-1	8.353336155E-2	1.248266339E0
2.465043465E0	-5.580089688E-1	3.307738006E-1	1.195428133E0
2.473446486E0	-4.382829070E-1	5.015056133E-1	1.231468081E0
2.481849507E0	-3.148917556E-1	6.503996253E-1	1.065317631E0
2.490252527E0	-3.049654961E-1	7.748597264E-1	7.111788988E-1
2.498655548E0	-3.232909143E-1	6.355865598E-1	5.100574493E-1
2.507058569E0	-2.794626355E-1	3.494046330E-1	6.247440577E-1
2.515461590E0	-2.359397560E-1	1.220167428E-1	9.063445926E-1
2.523864611E0	-2.530434728E-1	-4.963133857E-2	1.089140654E0
2.532267632E0	-2.611372173E-1	-1.386623234E-1	1.140451789E0
2.540670652E0	-2.228065431E-1	-1.375933439E-1	1.134037971E0
2.549073673E0	-1.834068894E-1	-1.001789495E-1	1.091125965E0
2.557476694E0	-1.748550236E-1	9.926267900E-3	1.031720996E0
2.565879715E0	-1.739387512E-1	8.964183182E-2	1.023627281E0
2.574282736E0	-1.608055383E-1	1.003316641E-1	1.083032131E0
2.582685757E0	-1.409530044E-1	1.296523362E-1	1.145949483E0
2.591088777E0	-1.502684206E-1	6.704048812E-2	1.174506545E0
2.599491798E0	-1.601946950E-1	-1.359135211E-1	1.185654521E0
