"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
4.497346500E-2	-7.088736892E-1	9.798608780E0	4.444667995E-1
5.337648600E-2	-7.489534616E-1	9.813564301E0	4.085744619E-1
6.177950700E-2	-8.183453679E-1	9.759127617E0	3.649054468E-1
7.018252700E-2	-8.494520187E-1	9.708877563E0	3.774677813E-1
7.858554800E-2	-8.315058947E-1	9.715457916E0	4.283152521E-1
8.698856900E-2	-8.219345808E-1	9.736394882E0	4.492524564E-1
9.539159000E-2	-8.380861282E-1	9.740582466E0	4.360919297E-1
1.037946110E-1	-8.662018180E-1	9.713663101E0	4.498506486E-1
1.121976320E-1	-8.566305041E-1	9.672985077E0	4.695914388E-1
1.206006520E-1	-8.291130662E-1	9.671789169E0	4.594219327E-1
1.290036730E-1	-8.626125455E-1	9.720243454E0	4.307080805E-1
1.374066940E-1	-8.985049129E-1	9.742377281E0	4.301098585E-1
1.458097150E-1	-8.823533654E-1	9.730413437E0	4.366901219E-1
1.542127360E-1	-8.733802438E-1	9.701101303E0	4.666004181E-1
1.626157570E-1	-8.673982024E-1	9.711270332E0	4.546363056E-1
1.710187770E-1	-8.733802438E-1	9.741181374E0	4.444667995E-1
1.794217980E-1	-8.183453679E-1	9.759127617E0	4.187439680E-1
1.878248190E-1	-7.854440212E-1	9.756135941E0	4.480560422E-1
1.962278400E-1	-7.794619799E-1	9.743574142E0	4.510470629E-1
2.046308610E-1	-7.980063558E-1	9.741779327E0	4.492524564E-1
2.130338820E-1	-8.195417523E-1	9.733404160E0	4.833501875E-1
2.214369020E-1	-8.494520187E-1	9.735796928E0	4.911268353E-1
2.298399230E-1	-8.656035662E-1	9.730413437E0	4.462614357E-1
2.382429440E-1	-8.464609981E-1	9.724431038E0	4.253242314E-1
2.466459650E-1	-8.099704385E-1	9.729216576E0	4.797609448E-1
2.550489860E-1	-8.075776696E-1	9.734601021E0	4.677968323E-1
2.634520070E-1	-8.117650747E-1	9.753743172E0	4.061816335E-1
2.718550270E-1	-8.105686903E-1	9.762716293E0	4.025924206E-1
2.802580480E-1	-8.321040869E-1	9.774082184E0	4.366901219E-1
2.886610690E-1	-8.273184299E-1	9.739984512E0	4.444667995E-1
2.970640900E-1	-8.213363886E-1	9.717850685E0	4.540380836E-1
3.054671110E-1	-8.338986635E-1	9.705288887E0	4.869394004E-1
3.138701320E-1	-8.662018180E-1	9.725028992E0	4.851447940E-1
3.222731520E-1	-8.871390224E-1	9.729815483E0	4.719842672E-1
3.306761730E-1	-8.913264275E-1	9.733404160E0	4.624129832E-1
3.390791940E-1	-8.715856671E-1	9.756733894E0	4.043870270E-1
3.474822150E-1	-8.482556343E-1	9.767501831E0	3.517449200E-1
3.558852360E-1	-8.428717852E-1	9.761520386E0	3.852444589E-1
3.642882570E-1	-8.673982024E-1	9.744172096E0	4.432703853E-1
3.726912770E-1	-8.530412912E-1	9.744770050E0	4.211367965E-1
3.810942980E-1	-8.207381964E-1	9.739984512E0	4.175475538E-1
3.894973190E-1	-8.207381964E-1	9.725028992E0	4.396811724E-1
3.979003400E-1	-8.494520187E-1	9.728618622E0	4.552344978E-1
4.063033610E-1	-8.632107973E-1	9.728618622E0	4.301098585E-1
4.147063820E-1	-8.638089895E-1	9.730413437E0	4.157529473E-1
4.231094020E-1	-8.344969153E-1	9.752547264E0	4.450650215E-1
4.315124230E-1	-8.141579032E-1	9.738788605E0	4.899304509E-1
4.399154440E-1	-8.392825127E-1	9.684351921E0	5.078766346E-1
4.483184650E-1	-8.733802438E-1	9.692128181E0	4.959124923E-1
4.567214860E-1	-8.530412912E-1	9.771091461E0	4.588237405E-1
4.651245070E-1	-8.141579032E-1	9.811170578E0	3.678964674E-1
4.735275270E-1	-8.297112584E-1	9.795618057E0	3.415754437E-1
4.819305480E-1	-8.955138922E-1	9.732806206E0	3.690928817E-1
4.903335690E-1	-9.134600163E-1	9.712467194E0	3.786641955E-1
4.987365900E-1	-9.116654396E-1	9.726225853E0	3.678964674E-1
5.071396110E-1	-9.212366939E-1	9.734002113E0	3.900300860E-1
5.155426320E-1	-9.379864931E-1	9.736993790E0	4.097708762E-1
5.239456520E-1	-9.122636318E-1	9.716654778E0	4.881358147E-1
5.323486730E-1	-8.249256015E-1	9.735796928E0	4.971089065E-1
5.407516940E-1	-7.585247755E-1	9.735796928E0	4.642075896E-1
5.491547150E-1	-6.957131624E-1	9.753743172E0	4.199403822E-1
5.575577360E-1	-7.232306600E-1	9.722038269E0	4.450650215E-1
5.659607570E-1	-6.269195080E-1	9.654440880E0	4.648058116E-1
5.743637770E-1	-6.143572330E-1	9.734002113E0	5.318048596E-1
5.827667980E-1	-6.909275651E-1	9.833304405E0	5.539384484E-1
5.911698190E-1	-7.591229677E-1	9.842277527E0	5.084748268E-1
5.995728400E-1	-8.757730722E-1	9.815957069E0	5.575276613E-1
6.079758610E-1	-1.106082320E0	9.751350403E0	5.802595019E-1
6.163788820E-1	-1.073779106E0	9.692128181E0	3.248256743E-1
6.247819020E-1	-8.297112584E-1	9.790832520E0	3.924229145E-1
6.331849230E-1	-6.023930907E-1	9.912865639E0	4.528416991E-1
6.415879440E-1	-5.988038778E-1	9.862616539E0	4.229314029E-1
6.499909650E-1	-6.999006271E-1	9.767501831E0	6.424728632E-1
6.583939860E-1	-7.172485590E-1	9.690333366E0	6.329016089E-1
6.667970070E-1	-6.927221417E-1	9.491728783E0	3.918247223E-1
6.752000270E-1	-7.106683254E-1	9.325428009E0	5.754738450E-1
6.836030480E-1	-7.016952634E-1	9.343972206E0	1.021735311E0
6.920060690E-1	-7.692924738E-1	9.451051712E0	1.100698471E0
7.004090900E-1	-1.028315544E0	9.492327690E0	5.383850932E-1
7.088121110E-1	-1.335195065E0	9.667003632E0	1.998006850E-1
7.172151320E-1	-1.485344648E0	9.903892517E0	1.190429255E-1
7.256181520E-1	-1.447059512E0	9.943972588E0	9.032905847E-2
7.340211730E-1	-1.243669510E0	9.746564865E0	3.032902777E-1
7.424241940E-1	-9.702895880E-1	9.543174744E0	6.693921089E-1
7.508272150E-1	-8.237292171E-1	9.468399048E0	8.901300430E-1
