"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1685722181.278	"2023-06-02 21:39:41.278 UTC+05:30"
"PAUSE"	8.820645014E1	1685722269.484	"2023-06-02 21:41:09.484 UTC+05:30"
