"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1685719718.455	"2023-06-02 20:58:38.455 UTC+05:30"
"PAUSE"	7.299063623E1	1685719791.446	"2023-06-02 20:59:51.446 UTC+05:30"
