"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1685851113.289	"2023-06-04 09:28:33.289 UTC+05:30"
"PAUSE"	6.878201274E1	1685851182.071	"2023-06-04 09:29:42.071 UTC+05:30"
"START"	6.878201274E1	1685851189.960	"2023-06-04 09:29:49.960 UTC+05:30"
"PAUSE"	1.222987332E2	1685851243.477	"2023-06-04 09:30:43.477 UTC+05:30"
"START"	1.222987332E2	1685851260.316	"2023-06-04 09:31:00.316 UTC+05:30"
"PAUSE"	1.769192561E2	1685851314.936	"2023-06-04 09:31:54.936 UTC+05:30"
